company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Ace Turtle,E-Commerce,Internet,Bangalore,Karnataka,Ace Turtle is a vertically integrated technology platform that focuses on omnichannel technology.,560008,$10M to $50M,"Sep 9, 2014",www.aceturtle.com,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/ace-turtle-services-pvt-ltd,Berry Singh,Nitin Chhabra,,251-500,4,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/ace-turtle-services-pvt-ltd,"May 2, 2023","$ 3,40,00,000.00",Series B,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/ace-turtle-services-pvt-ltd,SBI Investment,Vertex Ventures,Stride Ventures,Vertex Ventures Southeast Asia & India,4
FarMart,Agriculture,AgTech,Gurgaon,Haryana,"We are a modern food supply network of farming communities, food businesses and consumers.",—,$100M to $500M,2015,www.farmart.co/,3,Alekh Sanghera,Lokesh Singh,Mehtab Singh Hans,101-250,7,Early Stage Venture,"Mar 30, 2022","$ 3,20,00,000.00",Series B,"$ 4,84,20,204.00",500 Global,General Catalyst,Omidyar Network,OfBusiness,LetsVenture,16
Turtlemint,Financial Services,Insurance,Thane,Maharashtra,Turtlemint is an insurtech platform that identifies and purchases appropriate insurance policies for consumers.,400601,$1M to $10M,2015,www.turtlemint.com,3,Anand Prabhudesai,Dhirendra Mahyavanshi,Kunal Shah,1001-5000,6,Late Stage Venture,"Apr 29, 2022","$ 12,00,00,000.00",Series E,"$ 19,70,00,000.00",Blume Ventures,Marshall Wace,Nexus Venture Partners,Jungle Ventures,Vitruvian Partners,13
Freshtohome,E-Commerce,E-Commerce Platforms,Bangalore,Karnataka,"Freshtohome is an e-commerce platform for fresh and chemical-free chicken, meat, and seafood.",560 075,$1B to $10B,"Aug 1, 2015",www.freshtohome.com,1,Shan Kadavil,,,501-1000,10,Late Stage Venture,"Feb 6, 2023","₹ 8,61,30,00,000.00",Series D,"$ 25,60,77,737.00",Investcorp,U.S. International Development Finance Corp,Mount Judi Ventures,Amazon Smbhav Venture Fund,Rajan Anandan,27
Money View,Finance,Financial Services,Bangalore,Karnataka,Money View is a provider of a credit platform that offers loans and financial management tools.,560087,Less than $1M,"Apr 1, 2014",moneyview.in,2,Puneet Agarwal,Sanjay Aggarwal,,101-250,6,Late Stage Venture,"Dec 26, 2022","$ 7,50,00,000.00",Series E,"$ 18,37,01,702.00",Accel,Tiger Global Management,South Park Commons,Trusted Insight,Apis Partners,13
CloudSEK,Artificial Intelligence (AI),Information Technology,Bengaluru,Karnataka,CloudSEK is a contextual AI company that predicts Cyber Threats even before they occur.,560038,$1M to $10M,2015,www.cloudsek.com,1,Rahul Sasi,,,101-250,3,Early Stage Venture,"Oct 8, 2021","$ 70,00,000.00",Series A,"$ 94,64,724.00",MassMutual Ventures,Omidyar Network India,Exfinity Venture Partners,Kunal Shah,StartupXseed Ventures,6
Wooden Street,E-Commerce,Furniture,Jaipur,Rajasthan,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,302001,$10M to $50M,"May 1, 2015",www.woodenstreet.com,4,Dinesh Pratap,Lokendra Ranawat,Vikas Baheti,251-500,3,Early Stage Venture,"Apr 21, 2022","₹ 2,30,00,00,000.00",Series B,"$ 3,41,47,388.00",WestBridge Capital,Rajasthan Venture Capital Fund,IAN Fund,,,3
Disprz,Analytics,Artificial Intelligence (AI),Chennai,Tamil Nadu,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",600096,$1M to $10M,2015,www.disprz.com/,2,Kuljit Chadha,Subramanian Viswanathan,,101-250,9,Late Stage Venture,"Aug 7, 2023","$ 3,00,00,000.00",Series C,"$ 5,24,42,199.00",LIQUiDITY Group,Infrastructure Leasing & Financial Services Limited,Go1,360 ONE Asset,InnoVen Capital,14
Medikabazaar,B2B,Health Care,Mumbai,Maharashtra,Medikabazaar is an online B2B marketspace for medical supplies and equipment.,400093,$1M to $10M,Apr-15,www.medikabazaar.com,2,Ketan Malkan,Vivek Tiwari,,251-500,9,Late Stage Venture,"Apr 12, 2022","₹ 4,94,00,00,000.00",Series D,"$ 18,70,21,827.00",British International Investment,MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC),THE CATALYTIC IMPACT FOUNDATION (CIF),CDC Group,Ackermans & van Haaren,17
Shipsy,Big Data,Internet of Things,Gurgaon,Haryana,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,122003,Less than $1M,"Jun 12, 2015",shipsy.io,3,Dhruv Agrawal,Himanshu Gupta,Soham Chokshi,101-250,5,Early Stage Venture,"Feb 22, 2022","$ 2,38,90,000.00",Series B,"$ 3,15,87,983.00",Info Edge,Surge,A91 Partners,Info Edge ventures,DTDC,11
Bira 91,Brewing,Craft Beer,New Delhi,Delhi,"Bira 91 is a craft beer manufacturer and taproom that offers a portfolio of beers made out of wheat, barley, and hops.",110001,$10M to $50M,2015,www.bira91.com,1,Ankur Jain,,,501-1000,18,Late Stage Venture,"Mar 10, 2023","$ 1,00,00,000.00",Series D,"$ 26,32,07,029.00",Sequoia Capital,MUFG Bank,Anicut Capital,Sixth Sense Ventures,Sofina,17
InterviewBit,E-Learning,EdTech,Bengaluru,Karnataka,InterviewBit is an E-learning platform and interview preparation website helping young software professionals scale up their careers.,560103,$10M to $50M,2015,www.interviewbit.com,2,Abhimanyu Saxena,Anshuman Singh,,101-250,3,Early Stage Venture,"Dec 21, 2021","$ 4,50,00,000.00",Series B,"$ 6,65,00,000.00",Tiger Global Management,Surge,Lightrock,Peak XV Partners,Global Founders Capital,5
Noise,E-Commerce,Electronics,Gurgaon,Haryana,"Gonoise provides mobile accessories, camera accessories, and smart wearables.",122001,$1M to $10M,"Aug 2, 2014",www.gonoise.com,2,Amit Khatri,Gaurav Khatri,,101-250,1,M&A,"Dec 18, 2023","₹ 82,90,00,000.00",Series A,"₹ 82,90,00,000.00",Bose Ventures,,,,,1
Blackbuck,Information Services,Logistics,Bengaluru,Karnataka,Blackbuck is an Indian logistics company that makes trucking simple for every shipper and trucker.,560103,Less than $1M,2015,www.blackbuck.com,3,Chanakya Hridaya,Rajesh Yabaji,Ramasubramaniam B,1001-5000,9,Late Stage Venture,"Jul 22, 2021","$ 6,70,00,000.00",Series E,"$ 36,39,95,198.00",Accel,Goldman Sachs,Tiger Global Management,VEF,International Finance Corporation,17
Pando,Consumer Software,Enterprise Software,Chennai,Tamil Nadu,Pando provides an open-market freight management platform that digitises logistics operations.,—,$1M to $10M,2015,pando.ai,2,Abhijeet Manohar,Nitin Jayakrishnan,,251-500,3,Early Stage Venture,"May 3, 2023","$ 3,00,00,000.00",Series B,"$ 4,10,48,634.00",Nexus Venture Partners,Uncorrelated Ventures,Next47,Chiratae Ventures,Chiratae Ventures,19
Bijnis,B2B,Fashion,New Delhi,Delhi,"Bijnis is a business-to-business commerce platform that connects footwear manufacturers, retailers, component suppliers, and buyers.",110044,$10M to $50M,2015,www.bijnis.com,4,Chaitanya Rathi,Shubham Agarwal,Siddharth Rastogi,251-500,8,Early Stage Venture,"Sep 28, 2021","₹ 2,20,00,00,000.00",Series B,"₹ 3,07,80,00,000.00",Info Edge,Matrix Partners India,Indian Angel Network,Westbridge Capital,Peak XV Partners,8
Milkbasket,Delivery Service,E-Commerce,Gurgaon,Haryana,Milkbasket is a micro-delivery service of daily essentials enabling users to place orders till midnight and an assured delivery by 7 AM,122003,$1M to $10M,"Mar 1, 2015",milkbasket.com/,4,Anant Goel,Anurag Jain,Ashish Goel,501-1000,11,M&A,"Jun 20, 2020","$ 55,00,000.00",Series B,"$ 3,85,19,469.00",Inflection Point Ventures,Blume Ventures,Lenovo Capital and Incubator Group (LCIG),Kalaari Capital,BEENEXT,18
Bobble AI,Artificial Intelligence (AI),Digital Media,Haryana,Haryana,"Bobble AI is a conversation media app, making smartphone conversations personalized, expressive, and smarter with deep tech innovations.",122011,$10M to $50M,2015,bobble.ai,3,Ankit Prasad,Mohd Wassem,Rahul Prasad,251-500,7,—,"Sep 20, 2022","₹ 2,06,00,00,000.00",Venture - Series Unknown,"$ 5,65,37,909.00",Krafton,Elevation Capital,Affle,Xiaomi,,4
WorkIndia,Employment,Human Resources,Bengaluru,Karnataka,WorkIndia is a blue-collar recruitment portal offering employment opportunities for job seekers.,560102,$1M to $10M,2015,www.workindia.in,7,Ajay Kumar,Kshitij Nagvekar,Kunal Patil,501-1000,6,Early Stage Venture,"Jan 10, 2023","₹ 98,00,00,000.00",Series B,"$ 1,98,33,758.00",BlackSoil,SBI Investment,BEENEXT,Yamauchi-No.10 Family Office,Insitor Partners,10
UrbanPiper,Food and Beverage,Information Services,Bengaluru,Karnataka,"UrbanPiper develops a B2B software platform for restaurants, food ordering, and delivery services.",560066,$1M to $10M,"Apr 1, 2015",urbanpiper.com,3,Anirban Majumdar,Manav Gupta,Saurabh Gupta,251-500,5,Early Stage Venture,"Apr 17, 2022","$ 2,40,00,000.00",Series B,"$ 3,91,80,783.00",Zomato,Swiggy,Tiger Global Management,Axilor Ventures,Peak XV Partners,13
Zolo,Android,Mobile,Bangalore,Karnataka,Zolo is a one-stop destination for individuals looking for shared accommodation options.,560095,$50M to $100M,"Jun 3, 2015",zolostays.com,4,Akhil Sikri,Isha Choudhry,Nikhil Sikri,501-1000,4,Late Stage Venture,"Jul 7, 2020","$ 5,60,00,000.00",Series C,"$ 9,80,00,000.00",Investcorp,Mirae Asset,FJ Labs,Nexus Venture Partners,Trifecta Capital Advisors,7
CollegeDekho,Advertising Platforms,Digital Marketing,Gurgaon,Haryana,"India’s largest college discovery, enrollment and learning platform",122102,$100M to $500M,Apr-15,www.collegedekho.com,3,Rohit Saha,Ruchir Arora,Saurabh Jain,1001-5000,6,Early Stage Venture,"Dec 21, 2022","₹ 73,30,00,000.00",Series B,"$ 4,89,40,008.00",GirnarSoft,Winter Capital,Man Capital,Calega,ETS Strategic Capital,6
Fabhotels,E-Commerce,Hospitality,Gurgaon,Haryana,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,122002,$50M to $100M,2015,www.fabhotels.com/,2,Adarsh Manpuria,Vaibhav Aggarwal,,51-100,8,—,"Sep 2, 2023","$ 2,00,00,000.00",Venture - Series Unknown,"$ 6,85,98,636.00",Goldman Sachs,Accel,Qualcomm,Qualcomm Ventures,InnoVen Capital,10
Fisdom,Advice,Apps,Bangalore,Karnataka,Fisdom is a leading wealth-tech platform offering a holistic range of financial products to retail & mass affluent customers in India.,560051,$100M to $500M,2015,www.fisdom.com,3,Anand Dalmia,Ramganesh Iyer,Subramanya S.V.,251-500,7,Late Stage Venture,"Jun 30, 2022","₹ 1,09,00,00,000.00",Series C,"$ 3,72,54,754.00",Raghunandan G,Quona Capital,Saama Capital,Sumit Jain,Aprameya Radhakrishna,6
Locus.sh,Big Data,Data Visualization,Bangalore,Karnataka,Locus is a real-world ready dispatch management platform for last-mile excellence,560095,Less than $1M,May-15,www.locus.sh,2,Geet Garg,Nishith Rastogi,,251-500,6,Late Stage Venture,"Jun 2, 2021","$ 5,00,00,000.00",Series C,"$ 7,87,50,000.00",GIC,Blume Ventures,Tiger Global Management,Alpha Wave Global,Rocketship.vc,25
Awfis Space Solution,Commercial Real Estate,Communities,New Delhi,Delhi,"Awfis provides inspiring work spaces, including cabins, desks, and meeting rooms.",110070,$10M to $50M,"May 1, 2015",www.awfis.com,1,Amit Ramani,,,51-100,8,Late Stage Venture,"Dec 5, 2022","₹ 15,00,00,000.00",Series E,"$ 9,46,11,616.00",Yes Bank,Chrys Capital,Peak XV Partners,InnoVen Capital,Ashish Kacholia,8
HungerBox,B2B,Food and Beverage,Bengaluru,Karnataka,HungerBox is a full-stack B2B food and beverage technology company that provides food solutions for corporate.,560102,$100M to $500M,2015,hungerbox.com/,2,Sandipan Mitra,Uttam Kumar,,251-500,8,Late Stage Venture,"Aug 12, 2020","₹ 11,67,00,000.00",Series D,"$ 4,45,80,231.00",One97 Communications,Paytm,Sabre Partners,LionRock Capital,Pratithi Investments,10
Arcatron Mobility,Assisted Living,Hardware,Pune,Maharashtra,Arcatron is reinventing assisted living through building the next generation of devices.,411044,$1M to $10M,2015,arcatron.com/,4,Dewaj Baruah,Ganesh Sonawane,Kunal Kamble,Nov-50,6,—,"Feb 15, 2024",—,Venture - Series Unknown,"$ 4,64,819.00",BL Taparia Family Office,OrbiMed,Artha Group,Chona Family Office,MGA Ventures,10
RentoMojo,E-Commerce,Furniture,Bangalore,Karnataka,"RentoMojo is an online rental platform that provides furniture, appliances and electronics (mobiles, laptops) on a monthly rental basis.",560029,$50M to $100M,Dec-14,www.rentomojo.com/,3,Achal Mittal,Ajay Nain,Geetansh Bamania,501-1000,17,Late Stage Venture,"Feb 21, 2024","₹ 2,10,00,00,000.00",Series D,"$ 9,62,36,189.00",Bain Capital,Bain Capital Ventures,Venture Catalysts,Edelweiss Financial Services,Accel,21
LetsTransport,Logistics,Transportation,Bangalore,Karnataka,LetsTransport is a logistics solution provider that offers customized logistics solutions for clients.,—,$50M to $100M,2015,letstransport.in,3,Ankit Parasher,Pushkar Singh,Sudarshan Ravi,501-1000,10,—,"Jul 14, 2023","$ 2,50,00,000.00",Venture - Series Unknown,"$ 4,96,28,092.00",BlackSoil,Stride Ventures,MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC),Fosun RZ Capital,InnoVen Capital,13
AjnaLens,Augmented Reality,Metaverse,Thane,Maharashtra,World's leading XR glasses & Metaverse Platform Company,400604,$1M to $10M,"Nov 12, 2014",www.ajnalens.com,3,Abhijit Patel,Abhishek Tomar,Pankaj Raut,Nov-50,8,Seed,"Feb 28, 2022","₹ 12,00,00,000.00",Seed,"$ 63,08,942.00",LetsVenture,JITO Angel Network,Vijay Shekhar Sharma,Mohsin Haider Darwish,Japan Vyas,12
Biryani By Kilo,Catering,Food and Beverage,Noida,Uttar Pradesh,Biryani By Kilo is a restaurant chain that focuses on biryanis and kebabs.,—,$1M to $10M,2015,biryanibykilo.com,3,Kaushik Roy,Ritesh Sinha,Vishal Jindal,101-250,12,Late Stage Venture,"Dec 4, 2023","₹ 72,00,00,000.00",Series C,"$ 5,20,13,758.00",State Bank of India,Alpha Wave Global,Alpha Wave Ventures,IvyCap Ventures,Smile Group,25
Prozo,B2B,E-Commerce,Gurgaon,Haryana,Prozo is an integrated supply chain company that enables fulfillment through its tech-enabled warehousing and freight network.,122016,$1M to $10M,"Jul 10, 2014",www.prozo.com,1,Ashvini Jakhar,,,251-500,7,Early Stage Venture,"Feb 14, 2023","₹ 45,00,00,000.00",Series A,"$ 1,83,59,484.00",JAFCO Asia,Sixth Sense Ventures,Earlsfield Capital,Shirish Sankhe,HNI's,7
ESCROWPAY,Banking,FinTech,Gurgaon,Haryana,"Escrowpay - all-in-one escrow focused payments platform. Be it for high value, once in a lifetime purchase, milestone based transactions.",122002,$1M to $10M,"Aug 10, 2015",escrowpayindia.com/,2,Ashwin Chawwla,Subhrangshu Neogi,,Nov-50,2,Early Stage Venture,"Dec 27, 2023","$ 66,00,000.00",Series A,"$ 66,00,000.00",Inflection Point Ventures,AngelList,We Founder Circle,Bennett Coleman and Co Ltd,Tano Capital,8
NestAway,Customer Service,Home Renovation,Bengaluru,Karnataka,Nestaway is a Bangalore-based home rental network.,560102,$10M to $50M,"Jan 1, 2015",www.nestaway.com,4,Amarendra Sahu,Deepak Dhar,Jitendra Jagadev,1001-5000,9,M&A,"Sep 17, 2019","₹ 34,92,00,000.00",Series D,"$ 10,90,68,909.00",Flipkart,Goldman Sachs,InMobi,Tiger Global Management,InnoVen Capital,13
SigTuple,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,SigTuple builds intelligent solutions for medical diagnosis using state of the art machine learning techniques.,560102,$10M to $50M,"Jul 24, 2015",www.sigtuple.com,4,Apurv Anand,Bharath Cheluvaraju,Rohit Kumar Pandey,101-250,6,Late Stage Venture,"Mar 1, 2023","₹ 34,50,00,000.00",Series C,"$ 4,49,85,870.00",Accel,IDG Capital,Venture Highway,Axilor Ventures,Trifecta Capital Advisors,17
Pratilipi,Apps,Audio,Bengaluru,Karnataka,"Pratilipi is a language storytelling platform that brings readers, writers, and their stories together.",560029,$1M to $10M,"Mar 12, 2015",www.pratilipi.com/,6,Nalinee Choudhary,Prashant Gupta,Rahul Ranjan,51-100,7,Late Stage Venture,"Jul 14, 2021","₹ 3,58,00,00,000.00",Series D,"$ 8,06,01,201.00",Tencent,Qiming Venture Partners,Krafton,Shunwei Capital,Omidyar Network,21
LoveLocal (formerly m.Paani),Business Intelligence,E-Commerce,Mumbai,Maharashtra,LoveLocal is digitising and organising local retailers to deliver the neighbourhood shopping experience of the future.,400011,$10M to $50M,2015,www.lovelocal.in,1,Akanksha Hazari,,,Nov-50,6,Early Stage Venture,"Oct 28, 2021","₹ 1,43,00,00,000.00",Series B,"$ 2,70,18,276.00",Alumni Ventures,Blume Ventures,Vulcan Capital,Castor Ventures,AC Ventures,25
Muthoot Microfin,Finance,Financial Services,Mumbai,Maharashtra,Muthoot Microfin Limited is the microfinance arm of Muthoot Pappachan group,400051,$500M to $1B,2015,www.muthootmicrofin.com/,2,Muthoot Pappachan,Ninan Mathai Muthoot,,1001-5000,3,IPO,"Oct 3, 2022","$ 1,00,00,000.00",Private Equity,"$ 7,88,09,005.00",Greater Pacific Capital,,,,,1
SuperBottoms,Baby,Commercial,Thane,Maharashtra,"SuperBottoms is an undergarment brand that offers washable cloth diapers, langots, underwear, and cloth menstrual pads.",400610,$10M to $50M,2015,www.superbottoms.com,2,Pallavi Utagi,Salil Utagi,,101-250,7,Early Stage Venture,"Aug 23, 2023","$ 50,00,000.00",Series A,"$ 1,04,77,082.00",Titan Capital,Venture Catalysts,Alteria Capital,DSG Consumer Partners,Sharrp Ventures,8
Infinite Uptime,Analytics,Big Data,Pune,Maharashtra,Infinite Uptime provides predictive maintenance services and plant reliability solutions.,411007,$10M to $50M,2015,www.infinite-uptime.com,2,Raunak Bhinge,YC Chen,,101-250,8,—,"Jul 26, 2023",—,Venture - Series Unknown,"$ 3,01,25,981.00",VenturEast,Tiger Global Management,Pear VC,Infrastructure Leasing & Financial Services Limited,Plug and Play,15
Staqu Technologies,Analytics,Artificial Intelligence (AI),Delhi,Delhi,Staqu is AI startup working in audio-video analytics and management domain through its product JARVIS.,110001,$1M to $10M,2015,www.staqu.com/,5,Abhishek Sharma,Anurag Saini,Atul Rai,Nov-50,3,Seed,"Apr 26, 2022","₹ 11,00,00,000.00",Seed,"₹ 11,05,00,000.00",Security & Intelligence Services (India) Ltd.,Mount Judi Ventures,Department for Promotion of Industry and Internal Trade (DPIIT),Ajay Gupta,Neeraj Sangal,5
Treebo Hotels,Hospitality,Hotel,Bengaluru,Karnataka,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",560068,$1M to $10M,Jun-15,www.treebo.com,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/treebo-hotels,Kadam Jeet Jain,Rahul Chaudhary,Sidharth Gupta,501-1000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/treebo-hotels,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/treebo-hotels,"Jun 30, 2021","₹ 1,18,00,00,000.00",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/treebo-hotels,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/treebo-hotels,Accor,Elevation Capital,Matrix Partners India,InnoVen Capital
Emiza,E-Commerce,Industrial,Mumbai,Maharashtra,Emiza provides truckload (LTL) distribution and warehousing for SMEs.,—,$1M to $10M,"Aug 18, 2015",www.emizainc.com,1,Ajay Rao,,,51-100,2,Early Stage Venture,"May 26, 2022","₹ 37,50,00,000.00",Series B,"$ 93,30,578.00",Mayfield Fund,JM Financial Private Equity,Dileep Nath,Nishant Rao,,4
Shopkirana,B2B,E-Commerce,Indore,Madhya Pradesh,Shopkirana is a supply chain company that develops B2B e-commerce platforms and focuses on supply chain technology.,452001,$50M to $100M,2015,shopkirana.com,3,Deepak Dhanotiya,Sumit Ghorawat,Tanutejas Saraswat,501-1000,10,Late Stage Venture,"Jan 26, 2022","$ 4,51,00,000.00",Series C,"$ 6,01,89,806.00",AngelList,9Unicorns Accelerator Fund,Info Edge,Akatsuki Games Inc.,Incubate Fund,25
Josh Talks,Broadcasting,Education,Haryana,Haryana,Josh is on a mission to unlock human potential by creating tools that effectively nurture each individual’s potential.,122002,$1M to $10M,Jan-15,www.joshtalks.com,2,Shobhit Banga,Supriya Paul,,101-250,3,Seed,"May 10, 2022","₹ 27,00,00,000.00",Seed,"$ 49,94,169.00",Ritesh Agarwal,Ankur Capital,Girish Mathrubootham,Vijay Shekhar Sharma,Ankur Warikoo,13
ZestMoney,Big Data,Consumer Lending,Bangalore,Karnataka,ZestMoney is a fintech company that uses digital EMI without the need for a credit card or a credit score.,560034,$1M to $10M,2015,www.zestmoney.in,3,Ashish Anantharaman,Lizzie Chapman,Priya Sharma,251-500,10,M&A,"Aug 8, 2023",—,Venture - Series Unknown,"$ 12,09,08,827.00",Zip,Goldman Sachs,Omidyar Network,Alteria Capital,Flourish Ventures,18
ZappFresh,Apps,Food and Beverage,Gurgaon,Haryana,ZappFresh is an online platform that delivers a variety of meat and seafood direct from farms and fisheries.,122018,$1M to $10M,2015,www.zappfresh.com/,2,Deepanshu Manchanda,Shruti Gochhwal,,Nov-50,9,—,"Nov 23, 2023","₹ 30,00,00,000.00",Venture - Series Unknown,"$ 1,14,98,611.00",ah! Ventures,ICICI Venture,Heifer International,Ashvin Chadha,HT Media,8
DocsApp,Health Care,Medical,Bangalore,Karnataka,DocsApp is an online doctor consultation platform that provides consultation for patients of all age groups in several key disciplines.,560008,$1M to $10M,2015,www.docsapp.in,2,Enbasekar Dinadayalane,Satish Kannan,,1001-5000,6,Early Stage Venture,"Nov 3, 2020","$ 80,00,000.00",Series B,"$ 2,75,75,748.00",Bessemer Venture Partners,MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC),JAFCO Asia,InnoVen Capital,Rebright Partners,12
Vahdam Teas,E-Commerce,Food and Beverage,New Delhi,Delhi,Vahdam Teas is a vertically integrated online tea brand from premium garden fresh tea leaves.,110020,$1M to $10M,"Apr 1, 2015",www.vahdamteas.in/,1,Bala Sarda,,,01-Oct,7,Late Stage Venture,"Sep 8, 2021","₹ 1,74,00,00,000.00",Series D,"$ 6,22,88,195.00",Fireside Ventures,Sixth Sense Ventures,360 ONE Asset,Mumbai Angels,InnoVen Capital,14
