company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
WhiteHat Jr.,Education,Information Technology,Andheri,Maharashtra,Whitehar Jr - leading and best computer programming learning websites teaching kids to code.,400059,Less than $1M,2018,www.whitehatjr.com,1,Karan Bajaj,,,101-250,3,M&A,"Jul 1, 2020",—,Venture - Series Unknown,"$11,294,388",Omidyar Network,Nexus Venture Partners,Owl Ventures,Bossanova Investimentos,,4
ThoreCoin,Bitcoin,Blockchain,Bengaluru,Karnataka,"ThoreCoin 2.0 Unveiled, Revolutionary AI Capabilities to Empower the Future of Digital Currency & AI Based Educational Platform #EDTech.",—,—,"Jan 5, 2018",thorecoin.com/,,,,,,,,,,,,,,,,,
with an additional focus on DeFi integration. The relaunch of Thorecoin 2.0 brings advanced AI capabilities,enhanced security measures,Thorecoin offers AI-based courses for students in grades 6-10. This educational initiative aims to provide foundational knowledge in artificial intelligence and blockchain technology. The curriculum covers essential concepts such as machine learning,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/thore-network,https://www.crunchbase.com/person/alok-kumar-304f,,,,Series A,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/thore-network,Grapes IT Solutions,,,,1,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_lead_investors/thore-network,https://www.crunchbase.com/search/principal.investors/field/organization.companies/num_investors/thore-network,,,,,,,,
1K Kirana Bazaar,Consumer,E-Commerce,Gurgaon,Haryana,1K Kirana Bazaar is a neighborhood store network that changes the shopping experience.,122003,$10M to $50M,2018,www.1knetworks.com/,5,Abhishek Halder,Anilesh Yadav,Kumar Sangeetesh,251-500,3,Early Stage Venture,"Apr 6, 2022","₹1,950,000,000",Series B,"₹2,470,000,000",Alpha Wave Global,Info Edge ventures,Kae Capital,Rajesh Yabaji,ANME,8
Mylo,Baby,Health Care,Gurgaon,Haryana,Mylo helps young parents raise Happy & Healthy families by being a trusted companion throughout their parenting journey.,122002,$10M to $50M,2018,mylofamily.com,1,Vinit Garg,,,51-100,4,Early Stage Venture,"Apr 20, 2022","₹1,290,000,000",Series B,"$23,412,165",W Health Ventures,Alteria Capital,Fosun RZ Capital,InnoVen Capital,ITC,8
ITI Growth Opportunities Fund,Finance,Financial Services,Mumbai,Maharashtra,ITI Growth Opportunities Fund is an early stage venture capital fund of the Investment Trust of India group.,—,—,2018,www.itigo.in,1,Mohit Gulati,,,01-Oct,2,Seed,"Nov 16, 2021","₹44,000,000",Pre-Seed,"$1,190,930",Konglo Ventures,Keerthy Suresh,Aju Jacob,Vineet Kumar,Kathir ..,6
Rupyz,Financial Services,FinTech,Bengaluru,Karnataka,Rupyz is a fintech company serving MSMEs.,—,—,"Jan 1, 2018",rupyz.com/,2,Dhaval Radia,Gourav Gupta,,01-Oct,1,Seed,"Feb 5, 2024","$1,200,000",Seed,"$1,200,000",Merak Ventures,,,,,1
LiquiLoans,Financial Services,,Mumbai,Maharashtra,Liquiloans is a Peer to Peer Lending platform,—,$1M to $10M,2018,www.liquiloans.com/,2,Achal Mittal,Gautam Adukia,,Nov-50,4,—,"Sep 19, 2022","$10,000,000",Venture - Series Unknown,"$11,784,442",Venture Catalysts,CRED,Matrix Partners India,Kunal Shah,Rajesh Mane,7
Kaleidofin,Credit,Finance,Chennai,Tamil Nadu,"Kaleidofin is a digital financial service platform that provides savings, investment, credit, and insurance services.",600113,$1M to $10M,2018,kaleidofin.com,2,Puneet Gupta,Sucharita Mukherjee,,101-250,4,Early Stage Venture,"May 3, 2022","$5,000,000",Series B,"$22,881,119",Bill & Melinda Gates Foundation,Blume Ventures,Omidyar Network,Oikocredit International,Flourish Ventures,8
Padcare Labs,Industrial Engineering,Waste Management,Pune,Maharashtra,Padcare Labs offers future of hygiene to make modern sanitation safer and recyclable for women.,411008,$10M to $50M,2018,www.padcarelabs.com/,1,Ajinkya Dhariya,,,Nov-50,5,Seed,"Feb 9, 2023","₹50,000,000",Seed,"$829,305",Rainmatter Capital,United States Agency for International Development,Anupam Mittal,Peyush Bansal,Vineeta Singh,11
Game Theory,Fitness,Gamification,Bangalore,Karnataka,Game Theory is a sports and tech startup that brings in video-gaming like experience for real world sports.,—,$1M to $10M,2018,www.gametheory.in/,1,Sudeep Kulkarni,,,Nov-50,3,Seed,"Oct 16, 2023","₹166,000,000",Seed,"$2,465,270",Techstars,Rainmatter Capital,WEH Ventures,Prequate Advisory,Balakrishna Adiga,6
Digantara,Satellite Communication,Space Travel,Bengaluru,Karnataka,Digantara is an indian space technology company incubated at the indian institute of science.,560012,$1M to $10M,2018,www.digantara.co.in/,3,Anirudh Sharma,Rahul Rawat,Tanveer Ahmed,01-Oct,3,Early Stage Venture,"Jun 20, 2023","$10,000,000",Series A,"$12,563,167",Global Brain Corporation,Kalaari Capital,Peak XV Partners,Campus Fund,Yatin Shah,7
Artivatic.ai,Artificial Intelligence (AI),Employee Benefits,Bangalore,Karnataka,"AI powered Healthtech & Insurtech Platform. Smart Underwriting, AIHealth Claims, Patient Health App, Unified Provider Health System.",560102,$1M to $10M,"Jan 5, 2018",artivatic.ai,2,Layak Singh,Puneet Tandon,,51-100,6,M&A,"Feb 15, 2022","₹60,000,000",Series A,"$2,551,160",KFintech,Indian Angel Network,SenseAI Ventures,Scale Ventures,Rahul Sood,8
Dice,Finance,SaaS,Pune,Maharashtra,"\Dice is redefining SaaS to \""\""Spending as a Service\""\"" & pushing India's most Holistic Spend Management Ecosystem for corporates & enterprises.\""""",411020,$1M to $10M,"Jan 12, 2018",dice.tech,2,Lakshay Jain,Prashant Kushwah,,Nov-50,1,Seed,"Apr 28, 2020","₹3,000,000",Seed,"₹3,000,000",IIT Mandi Catalyst,,,,,1
Ekart Logistics,E-Commerce,Logistics,Bangalore,Karnataka,EKART is India's largest logistics and supply chain company,—,$50M to $100M,"Jan 11, 2018",www.ekartlogistics.com/,2,Binny Bansal,Sachin Bansal,,501-1000,1,—,"Oct 2, 2017","₹6,410,000,000",Venture - Series Unknown,"₹6,410,000,000",Klick2Shop Logistics Services International,,,,,1
P.T.S ( Proweb Tech Solution ),Information Technology,Software,Noida,Uttar Pradesh,"\\""\""\""\""P.T.S ( Proweb Tech Solution ) is Asia's largest Managed Marketplace for Digital Services.\""""",201303,—,"Jan 4, 2018",www.prowebtechsolution.com/,social media marketing,—,—,1,https://www.crunchbase.com/person/deepank-yadav,,,,101-250,5,Late Stage Venture,"$50,000,000",Series E,"$150,000,000",",,,",https://www.crunchbase.com/organization/tencent,https://www.crunchbase.com/organization/softbank-vision-fund
Auric (Zenith Drinks Private Limited),Consumer,E-Commerce,Delhi,Delhi,Beauty & Wellness brand | Functional Foods | Plant based science from India | D2C | Entry point is Beverages,110025,$1M to $10M,"Jan 8, 2018",www.TheAuric.com,1,Deepak Agarwal,,,01-Oct,2,Seed,"Jun 28, 2021","$2,000,000",Seed,"$2,100,000",9Unicorns Accelerator Fund,Venture Catalysts,Air Asia,Karthik Bhat,,4
Mudrex,Asset Management,Blockchain,Bengaluru,Karnataka,Mudrex is a cryptocurrency investment platform trusted by over 1 million investors!,5601025,—,"Jan 2, 2018",mudrex.com,5,Alankar Saxena,Edul Patel,Prince Arora,51-100,5,—,"Aug 1, 2022","$12,319,245",Venture - Series Unknown,"$22,069,245",Y Combinator,Nexus Venture Partners,Woodstock Fund,Tribe Capital,Arkam Ventures,11
SMILE INTERNET TECHNOLOGIES PRIVATE LIMITED,Artificial Intelligence (AI),Content Creators,Gurgaon,Haryana,GetVid.ai is on mission to help Video Creators become more efficient,122016,$1M to $10M,"Jan 15, 2018",www.getvid.ai,2,Siddharth Puri,Vaibhav Pandey,,Nov-50,1,Seed,"Feb 28, 2018","$2,000,000",Seed,"$2,000,000",Smile Group,,,,,1
UNI,Architecture,B2C,New Delhi,Delhi,A collaborative platform for creative people to solve challenging design problems.,DE19703,$100M to $500M,"Jan 15, 2018",uni.xyz,2,Abhishek Sorampuri,Krishna Sirugudi,,Nov-50,3,Seed,"Apr 15, 2021","$300,000",Seed,"$430,000",,,,,,—
Trodly,E-Commerce,Internet,Bangalore,Karnataka,"Trodly is a trusted online platform for people to discover and book exciting activities, tours and experience for their trips.",560048,$1M to $10M,"Jan 5, 2018",www.trodly.com,2,Ankit Jindal,Vikas Johiya,,Nov-50,1,Seed,"Sep 1, 2018","$25,000",Pre-Seed,"$25,000",,,,,,—
24x7 Offshoring,Big Data,Data Collection and Labeling,Delhi,Delhi,"localization, Machine Learning data collection, Artificial intelligence services, Annotation, AI data label, TRANSLATION.",110049,—,"Jan 6, 2018",24x7offshoring.com/,1,TEJA SUVVARI,Text Analytics,Translation Service,251-500,1,Seed,"Aug 15, 2022","$100,000",Pre-Seed,"$100,000",TEJA SUVVARI,,,,,1
Polymorph Design Studio,Architecture,Construction,Noida,Uttar Pradesh,Tech Enabled Architecture & Interior Firm,—,—,"Jan 7, 2018",www.polymorph-design.in/,—,,,,01-Oct,2,Seed,"Sep 20, 2023",—,Seed,"$100,000",,,,,,—
Bulb and Key,E-Commerce,Enterprise Resource Planning (ERP),Pune,Maharashtra,Bulb and Key provides an online platform for all and any small and home based businesses.,411004,—,"Jan 8, 2018",bulbandkey.com/,2,Kuntal Barhate,Raj Gujar,,Nov-50,2,Seed,"Oct 15, 2019","$100,000",Angel,"$150,000",Anup Pai,Prashant Deshpande,Dilip Tahmankar,,,3
Tortue,Gaming,Media and Entertainment,Bangalore,Karnataka,Tortue is a super fun family entertainment brand,560027,—,"Jan 8, 2018",tortuegames.com/,—,—,,,,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/tortue,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/tortue,Seed,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/tortue,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/tortue,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/tortue,,https://www.crunchbase.com/organization/graph-ventures,,,,
HAPLO,Artificial Intelligence (AI),Commercial Real Estate,Bengaluru,Karnataka,HAPLO is an AI-powered integrated workspace SaaS platform for co-working spaces and commercial real estate providers.,560043,—,"Jan 4, 2018",haplo.app,1,Harinath Pudipeddi,,,01-Oct,1,Seed,"Feb 10, 2019","$14,000",Pre-Seed,"$14,000",Pratik Nahata,,,,,1
Select Your University,Education,,Ghaziabad,Uttar Pradesh,"Select Your University is an Overseas Education Consultant. We build careers, come and join us for a great future!",201010,—,"Jan 10, 2018",www.selectyouruniversity.com,1,Sandeep Singh,,,01-Oct,1,Seed,"May 20, 2018","$60,000",Pre-Seed,"$60,000",,,,,,—
InternshipFair.In,Business Development,Communities,Delhi,Delhi,"Student-focused internship portal, bringing students, employers and higher education institutions together in one centralized location.",—,—,"Jan 7, 2018",internshipfair.in,1,Hrithik Rastogi,,,01-Oct,1,Seed,"Feb 15, 2018","₹1,250,000",Seed,"₹1,250,000",,,,,,—
Pato Health,Health Care,Home Health Care,Chennai,Tamil Nadu,Chronic care focused online pharmacy and home health care service provider,600100,$1M to $10M,"Jan 15, 2018",patohealth.com,1,Saravanan Sadaiyappan,,,01-Oct,1,Seed,"Mar 1, 2018","$150,000",Seed,"$150,000",,,,,,—
Kraftivo,Apps,Home Decor,Bangalore,Karnataka,"Krativo is a pioneering online portal devoted to creating an online ecosystem of interior service providers, professionals, and clients.",560102,—,"Jan 15, 2018",kraftivo.in/,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/kraftivo,Chisna Valsan,Sudheep VV,Service Industry,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/kraftivo,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/kraftivo,"Sep 1, 2020",—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/kraftivo,,,,,
Timeus,Blockchain,Cryptocurrency,New Delhi,Delhi,Timeus is a blockchain protocol adapted to the needs of corporate clients and has a number of unique technical solutions.,—,—,"Jan 3, 2018",timeus.org,1,Roman Said,,,01-Oct,1,Seed,"Jul 6, 2019",—,Seed,—,,,,,,—
