company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Namdev Finvest,Electric Vehicle,Energy,Jaipur,Rajasthan,Namdev Finvest operates a non-banking finance platform that provides loans to rural and semi-urban agriculture.,—,—,1997,www.namfin.in,—,,5001-10000,2,Early Stage Venture,"Jan 22, 2024","₹1,240,000,000",Series B,"₹1,590,000,000",British International Investment,Lighthouse Canton,Incofin Investment Management,,,3
Waaree,Energy,Industrial,Mumbai,Maharashtra,Waaree is a supplier and manufacturer of high-quality solar PV modules and solar solutions.,400066,$100M to $500M,"Oct 1, 1989",waaree.com,1,Hitesh Doshi,1001-5000,3,—,"Aug 2, 2023","₹10,000,000,000",Venture - Series Unknown,"₹21,000,000,000",ValueQuest Investment Advisiors,,,,,1
Amber Group,Consumer Electronics,Electronics,Gurgaon,Haryana,Amber Group is a manufacturer of air conditioners and its component in India.,122018,$500M to $1B,1990,www.ambergroupindia.com,1,Kartar Singh,10001+,1,Private Equity,"Jan 17, 2018","₹1,787,100,000",Private Equity,"₹1,787,100,000",Goldman Sachs,BlackRock,ICICI Prudential Life Insurance,HDFC Standard Life Insurance,Reliance Capital,9
ICICI Securities,Banking,Financial Services,Mumbai,Maharashtra,ICICI Securities is an integrated securities firm.,400 020,$1B to $10B,1995,www.icicisecurities.com,1,Vijay Chandok,1001-5000,1,Private Equity,"Mar 22, 2018","$264,000,000",Private Equity,"$264,000,000",,,,,,—
CRMNEXT,CRM,Finance,Noida,Uttar Pradesh,CRMNEXT provides CRM solutions to enterprise banks and financial service providers worldwide.,201309,$1M to $10M,2002,www.crmnext.com,3,Bidhan Choudhary,501-1000,2,Early Stage Venture,"Jul 8, 2021","₹1,195,000,000",Series B,"$22,996,188",Norwest Venture Partners,Ascent Capital,Avataar Venture Partners,,,3
Hero FinCorp,Consumer Lending,Finance,New Delhi,Delhi,Hero FinCorp is a non-banking financial company specializing in commercial lending and consumer finance businesses.,110057,$500M to $1B,1991,herofincorp.com,—,,1001-5000,2,Private Equity,"Feb 3, 2022","₹20,000,000,000",Private Equity,"₹27,020,000,000",Apollo,Credit Suisse,Chrys Capital,HeroMotoCorp,,4
Prodapt Solutions,Information Technology,Software,Chennai,Tamil Nadu,Prodapt Solutions is a specialized IT services company serving global Digital Services Providers.,600 096,$100M to $500M,1999,www.prodapt.com,1,Vedant Jhaver,1001-5000,1,Private Equity,"Sep 9, 2019","$75,000,000",Private Equity,"$75,000,000",Affirma Capital,,,,,1
Senco Gold,Jewelry,Mineral,Calcutta,West Bengal,To provide high quality jewelry with exquisite designs and excellent customer service at affordable prices.,700014,$100M to $500M,1938,sencogoldanddiamonds.com/,1,Suvankar Sen,Nov-50,2,Private Equity,"Apr 11, 2022","₹750,000,000",Private Equity,"$22,889,429",Elevation Capital,Oman India Joint Investment Fund,,,,2
Allen Career Institute,Consulting,Education,Kota,Rajasthan,Allen Career Institute is an education coaching center for students preparing for various competitive exams.,324005,$10M to $50M,1988,allen.ac.in,1,Rajesh Maheshwari,10001+,1,Private Equity,"May 1, 2022","₹45,000,000,000",Private Equity,"₹45,000,000,000",Bodhi Tree,,,,,1
VenturEast,Finance,,Hyderabad,Andhra Pradesh,They like to partner the entrepreneur that is trying to avoid doing the commonplace; one that is growing with the current trend but is,500032,$10M to $50M,1997,www.ventureast.net,2,Raghuveer Mendu,Nov-50,1,—,"Nov 6, 2017","€4,300,000",Venture - Series Unknown,"€4,300,000",Belgian Investment Company for Developing Countries,,,,,1
Matrimony.com,Classifieds,Customer Service,Chennai,Tamil Nadu,Matrimony.com offers India-wide matchmaking services through an online portal.,600028,$10M to $50M,"Apr 14, 1997",www.matrimony.com/,1,Murugavel Janakiraman,501-1000,4,M&A,"Sep 11, 2017","₹2,258,000,000",Venture - Series Unknown,"$75,689,521",Yahoo,Mayfield Fund,Canaan Partners,Xplorer Capital,,4
Mahindra Logistics,Consulting,Logistics,Mumbai,Maharashtra,Supply chain management and corporate people transport solutions.,—,$100M to $500M,2000,www.mahindralogistics.com/,2,J C Mahindra,5001-10000,1,IPO,"Oct 31, 2017","₹2,472,000,000",Venture - Series Unknown,"₹2,472,000,000",Goldman Sachs,Birla Sun Life Insurance,HDFC Trustee,DSP Blackrock,Reliance Mutual Fund,5
Dairy Day Ice Cream,Food and Beverage,Manufacturing,Bengaluru,Karnataka,Dairy Day is a manufacturer and supplier of dairy products.,—,$10M to $50M,"Dec 1, 2002",www.dairyday.com/,1,Balaraju Anantharamu,51-100,1,Private Equity,"Oct 24, 2016","₹1,100,000,000",Private Equity,"₹1,100,000,000",Motilal Oswal Private Equity,,,,,1
Molbio Diagnostics,Biotechnology,Health Care,Verna,Goa,Molbio Diagnostics is a molecular diagnostics manufacturer that specializes in the low-cost diagnosis of tuberculosis and other diseases.,403 722,$100M to $500M,"Oct 20, 2000",www.molbiodiagnostics.com,2,Chandrasekhar Nair,501-1000,2,—,"Sep 26, 2022","$85,000,000",Venture - Series Unknown,"$117,495,843",Temasek Holdings,Motilal Oswal Private Equity,,,,2
National Stock Exchange,Financial Services,FinTech,Mumbai,Maharashtra,NSE is India's stock exchange covering various cities and towns across the country.,400 051,$1B to $10B,1998,www.nseindia.com/,—,,1001-5000,6,Private Equity,"Jul 1, 2020","₹11,300,000,000",Private Equity,"₹21,090,000,000",Citi,Morgan Stanley,Goldman Sachs,GIC,General Atlantic,11
Pushp Brand,Food and Beverage,Food Processing,Indore,Madhya Pradesh,"Pushp Brand sells a range of CTC spices, other pure spices and blended spices.",452009,$1M to $10M,1974,pushpmasale.com/,1,Late Shri Kishanlalaji Surana,Nov-50,2,—,"Dec 28, 2023","₹1,000,000,000",Venture - Series Unknown,"₹2,250,000,000",A91 Partners,Sixth Sense Ventures,,,,2
Duroflex,Consumer Goods,E-Commerce,Alleppey,Kerala,Duroflex operates as a dominant mattress player.,688011,$1M to $10M,1963,www.duroflexworld.com,1,PC Mathew,1001-5000,2,—,"Oct 14, 2021","₹4,500,000,000",Venture - Series Unknown,"$82,003,879",Norwest Venture Partners,Lighthouse Funds,,,,2
SAEL,Energy,Food Processing,New Delhi,Delhi,"SAEL is an agro-based industry interested in rice milling, renewable energy.",110016,$100M to $500M,1971,www.sael.co,—,,501-1000,1,—,"Jan 15, 2023","₹5,000,000,000",Venture - Series Unknown,"₹5,000,000,000",Norfund,,,,,1
Gold Plus Glass,Concerts,Google Glass,New Delhi,Delhi,Gold Plus Glass is the first 100% Indian owned company to manufacturing float glass in country.,110085,$500M to $1B,1985,www.goldplusgroup.com/,1,Subhash Tyagi,5001-10000,1,Private Equity,"Aug 9, 2018","₹4,000,000,000",Private Equity,"₹4,000,000,000",PremjiInvest,,,,,1
Tessolve Semiconductor,Manufacturing,Semiconductor,Bangalore,Karnataka,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",560 100,$50M to $100M,1993,www.tessolve.com/,3,P Raja Manickam,1001-5000,1,M&A,"Apr 22, 2021","$40,000,000",Private Equity,"$40,000,000",Novo Tellus Capital Partners,,,,,1
Reliance General Insurance,Financial Services,Insurance,Mumbai,Maharashtra,Reliance General Insurance is an Indian private insurance company.,—,$1M to $10M,"Aug 17, 2000",www.reliancegeneral.co.in/,1,Anil Dhirubhai Ambani,1001-5000,1,Private Equity,"Jul 30, 2023","₹2,000,000,000",Private Equity,"₹2,000,000,000",,,,,,—
Dixon Technologies,Hardware,Home Appliances,Noida,Uttar Pradesh,"Dixon is an electronics manufacturing services provider that delivers solutions for lighting, consumer electronics and home appliances.",201 305,$500M to $1B,1993,www.dixoninfo.com,2,Manoj S Maheshwari,1001-5000,2,IPO,"Sep 6, 2017","₹1,797,900,000",Venture - Series Unknown,"$37,431,043",Motilal Oswal Financial Services,,,,,1
Avenue Supermarts (D-Mart ),Local Shopping,Retail,Mumbai,Maharashtra,DMart is a one-stop supermarket chain that aims to offer customers a wide range of basic home,400076,$500M to $1B,2000,www.dmartindia.com/,1,Radhakishan Damani,1001-5000,1,IPO,"Mar 7, 2017","₹5,610,000,000",Private Equity,"₹5,610,000,000",Fidelity,JP Morgan,T. Rowe Price,SBI Mutual Fund,ICICI Prudential Mutual Fund,9
Network Intelligence India Pvt. Ltd.,Cyber Security,Security,Mumbai,Maharashtra,Network Intelligence India Pvt. Ltd. is a ISO 27001 certified cyber security consulting agency.,400069,$100M to $500M,2001,www.niiconsulting.com,1,K. K. Mookhey,251-500,1,Private Equity,"Jun 15, 2018","₹330,000,000",Private Equity,"₹330,000,000",Helix Investments,,,,,1
Maxivision Super Speciality Eye Hospitals,Health Care,Hospital,Begampet,Andhra Pradesh,Maxivision Super Speciality Eye Hospitals is an eye care center.,500 016,$1M to $10M,1996,www.maxivisioneyehospital.com,1,Dr. Kasu Prasad Reddy,51-100,2,Private Equity,"Jul 12, 2023","₹6,000,000,000",Private Equity,"₹6,600,000,000",Quadria Capital,TVS Capital Funds,ePlanet Capital,,,3
Mahindra Last Mile Mobility,Electric Vehicle,Infrastructure,Mumbai,Maharashtra,"Mile Mobility widely acclaimed mix of petrol, CNG, diesel and electric last mile mobility 3- and 4-wheelers – passenger and cargo vehicles.",—,$10M to $50M,1994,mahindralastmilemobility.com/,—,,—,1,—,"May 16, 2023","₹3,000,000,000",Venture - Series Unknown,"₹3,000,000,000",International Finance Corporation,,,,,1
Casagrand,Construction,Property Development,Chennai,Tamil Nadu,Casagrand is a real estate enterprise committed to building aspirations and delivering value.,600 041,$50M to $100M,2004,www.casagrand.co.in/,2,Arun Mn,1001-5000,3,—,"Sep 15, 2022","₹4,000,000,000",Venture - Series Unknown,"$59,594,327",Värde Partners,Brand Capital,Avenue Venture,,,3
Manthan,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,Manthan Software Services offers a portfolio of business-ready products in advanced analytics and big data for consumer industries.,560001,$100M to $500M,"Dec 17, 2003",www.manthan.com,1,Atul Jalan,501-1000,8,—,"Jan 1, 2019",—,Venture - Series Unknown,"$98,400,000",Fidelity,Eight Roads Ventures,Temasek Holdings,Fidelity International,InnoVen Capital,9
Vijaya Diagnostic Centre,Health Care,Health Diagnostics,Hyderabad,Andhra Pradesh,"Vijaya Diagnostic Centre provides laboratory, cardiology, and gastroenterology services.",—,$50M to $100M,"Jan 1, 1981",www.vijayadiagnostic.com/,1,Surendranath Reddy,51-100,2,IPO,"Mar 17, 2017","$7,650,000",Series A,"$71,054,089",Kedaara Capital,,,,,1
Asian Footwear,Fashion,Manufacturing,New Delhi,Delhi,Asian Footwear manufactures both casual and athletic shoes.,—,$1M to $10M,1994,www.asianfootwears.com,—,,501-1000,1,Private Equity,"Oct 10, 2022","₹2,250,000,000",Private Equity,"₹2,250,000,000",Sixth Sense Ventures,Motilal Oswal Financial Services,,,,2
CSB Bank,Banking,Financial Services,Thrissur,Kerala,"CSB is a full-service bank that offers retail, wholesale, and SME banking services.call eight three nine two zero one one nine one three",680020,$10M to $50M,1920,www.csb.co.in/,1,Subhasis Banerjee,1001-5000,2,M&A,"Nov 22, 2019","₹1,840,000,000",Private Equity,"₹1,840,000,000",SBI Mutual Fund,ICICI Prudential Mutual Fund,Axis Mutual Fund,Sundaram Mutual Fund,Aditya Birla Sunlife Mutual Fund,9
Financial Software & Systems,Cryptocurrency,Debit Cards,Chennai,Tamil Nadu,"Financial Software & Systems (FSS), is a global comprehensive payments technology provider.",603 103,$1M to $10M,"Feb 20, 1991",www.fsstech.com/,1,Nagaraj Mylandla,1001-5000,4,Late Stage Venture,"Oct 14, 2014","$57,000,000",Series D,"$129,250,000",The Carlyle Group,PremjiInvest,New Enterprise Associates,Jacob Ballas Capital India,,4
Servion,Big Data,Contact Management,Chennai,Tamil Nadu,Servion Global Solutions specializes in Customer Experience Management (CEM) solutions that help companies.,600 041,$100M to $500M,1995,servion.com,2,Kavikkal Balakrishnan,1001-5000,2,Private Equity,"May 25, 2017","$74,000,000",Private Equity,"$140,000,000",Everstone,,,,,1
Arya Collateral Warehousing Services,Warehousing,,Noida,Uttar Pradesh,Arya Collateral Warehousing Services provides post-harvest services.,201301,$1M to $10M,1982,www.arya.ag,1,Prasanna Rao,51-100,6,Late Stage Venture,"Jan 17, 2022","$46,000,000",Series C,"$113,230,000",Omnivore,U.S. International Development Finance Corp,Accion,Lightrock,Quona Capital,6
Stovekraft,E-Commerce,,Bangalore,Karnataka,Stovekraft Limited is the largest Kitchen Appliances company in the Indian kitchen appliances industry.,—,$1M to $10M,"Jan 15, 2000",www.stovekraft.com/,1,Rajendra Gandhi,5001-10000,4,IPO,"Jan 23, 2021","₹1,850,000,000",Venture - Series Unknown,"₹3,770,000,000",Goldman Sachs,Peak XV Partners,SIDBI Venture Capital,Bajaj Allianz Life Insurance Company Limited,Sundaram Mutual Fund,7
Hero Electric,Electronics,Manufacturing,New Delhi,Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",110020,$10M to $50M,1956,www.heroelectric.in,1,Dayanand Munjal,51-100,3,Early Stage Venture,"Jul 12, 2021","₹2,200,000,000",Series B,"₹3,800,000,000",Alpha Capital,Asas Capital,Gulf Islamic Investments LLC (GII),OAKS Asset Management,,4
Akums Drugs& Pharmaceuticals,Health Care,Manufacturing,New Delhi,Delhi,Akums Drugs & Pharmaceuticals contract manufacturing pharmaceutical company.,110034,$1B to $10B,2004,www.akums.in,—,,5001-10000,1,Private Equity,"Dec 9, 2019","$70,000,000",Private Equity,"$70,000,000",Quadria Capital,,,,,1
Alkem Laboratories,Health Care,Medical,Mumbai,Maharashtra,Alkem Laboratories is a India-based pharmaceutical company that operates globally.,400 013,$100M to $500M,1973,www.alkemlabs.com,1,Samprada Singh,10001+,1,IPO,"Dec 8, 2015","$60,000,000",Venture - Series Unknown,"$60,000,000",Morgan Stanley,Abu Dhabi Investment Authority,Apax Group,Kuwait Investment Authority,DB International,5
EbixCash,Data Center,Financial Exchanges,Noida,Uttar Pradesh,"EbixCash offers financial services, travel technology, tours & travels, payment solutions, bills & recharges, telecom services, bpo services",201305,$10M to $50M,2002,ebixcash.com,1,Robin Raina,1001-5000,3,M&A,"Sep 2, 2014","$15,000,000",Series C,"$35,300,000",Matrix,Intel Capital,Lightspeed India Partners,Essel Group,,4
Theobroma,Bakery,Coffee,Mumbai,Maharashtra,"Theobroma is a Parsi family owned and managed bakery, patisserie and chocolaterie in Mumbai, India.",400005,Less than $1M,2004,theobroma.in/,1,Kainaz Messman,Nov-50,1,—,"Apr 5, 2017","$20,000,000",Venture - Series Unknown,"$20,000,000",ICICI Venture,,,,,1
ZingHR,Human Resources,Information Technology,Mumbai,Maharashtra,An Enterprise HCM platform for the betterment of workforces covering the entire spectrum from Onboarding to Exit and beyond.,400064,$10M to $50M,2000,zinghr.com/,4,Prasad Rajappan,251-500,4,—,"Jan 17, 2022","$10,000,000",Venture - Series Unknown,"$10,000,000",Tata Capital,Zeta,Mumbai Angels,Erasmic Venture Fund,Microsoft Accelerator Bangalore,5
Computer Age Management Services,Financial Services,Information Services,Chennai,Tamil Nadu,CAMS is a technology-enabled solutions provider to the Indian finance industry.,600002,$1M to $10M,1988,www.camsonline.com,1,Vaidyanathan Shankar,1001-5000,4,IPO,"Apr 1, 2019","$51,000,000",Private Equity,"$51,000,000",Warburg Pincus,Faering Capital,NSE Investment,,,3
Dodla Dairy,Consumer Goods,Food and Beverage,Hyderabad,Andhra Pradesh,Dodla Dairy processes and supplies milk and value-added dairy products.,500 033,$1M to $10M,1995,www.dodladairy.com,1,D. Sunil Reddy,501-1000,3,IPO,"Jun 15, 2021","₹1,560,500,000",Private Equity,"$71,276,176",VenturEast,International Finance Corporation,The Rise Fund,SBI Mutual Fund,TPG Growth,14
Strand Life Sciences,Bioinformatics,Biotechnology,Bangalore,Karnataka,Strand is leading a new generation of healthcare defined by genetic insights into disease.,560024,$1M to $10M,2000,strandls.com/,2,Ramesh Hariharan,501-1000,2,M&A,"Feb 8, 2018","$13,000,000",Private Equity,"$13,000,000",Quadria Capital,HealthQuad,Burrill & Company,Heritas Venture Fund,,4
Kiko,Cosmetics,,Gurgaon,Haryana,KIKO Milano is a leading Italian cosmetics brand.,122002,$100M to $500M,1997,www.kikocosmetics.com/en-in/,1,Antonio Percassi,1001-5000,1,Private Equity,"Jul 26, 2018","€80,000,000",Private Equity,"€80,000,000",Peninsula Capital,,,,,1
TATA Projects,Construction,Industrial,Mumbai,Maharashtra,Tata Projects is one of the fastest growing and most admired infrastructure companies in India.,—,$1B to $10B,"Jan 1, 1979",www.tataprojects.com/,1,Kanishka Roy,1001-5000,1,Private Equity,"Jul 27, 2015","₹3,350,000,000",Private Equity,"₹3,350,000,000",Tata Opportunities Fund (TOF),,,,,1
Aavishkaar Venture Capital,Finance,Financial Services,Mumbai,Maharashtra,Aavishkaar Venture Capital provides private equity and microfinance solutions for early stage startups.,400 062,$1M to $10M,2001,aavishkaarcapital.in,1,Vineet Rai,Nov-50,2,—,"Sep 26, 2019","$37,000,000",Venture - Series Unknown,"$62,000,000",FMO,Triodos Bank,Shell Foundation,,,3
Nobel Hygiene,Baby,Consumer Goods,Mumbai,Maharashtra,"Nobel Hygiene is a one-stop-shop for personal hygiene products, including diapers and pads meant for babies, mothers and adults.",400099,$100M to $500M,2001,www.nobelhygiene.com,1,Kamal Johari,51-100,5,Late Stage Venture,"Sep 14, 2022","₹1,320,000,000",Series C,"$28,113,375",Quadria Capital,Sixth Sense Ventures,Brand Capital,Access Asset Managers,,4
Louis Stitch,Fashion,Retail,Gurgaon,Haryana,Louis Stitch is a luxury footwear and fashion label for men.,122015,$1M to $10M,1987,www.louisstitch.com,—,,5001-10000,2,Seed,"Jul 20, 2023","₹50,000,000",Seed,"₹100,000,000",Space World Group LLP,ATC Logistics,,,,2
AGS Transact Technologies,Banking,Financial Services,Mumbai,Maharashtra,AGS Transact end-to-end payment solutions provider with a wide spectrum of highly customized solutions with the aid of modern technology.,400 013,$10M to $50M,2002,www.agsindia.com/,1,Ravi Goyal,1001-5000,2,Private Equity,"Mar 30, 2021","₹3,500,000,000",Private Equity,"₹5,700,000,000",Actis,Kotak Investment Advisors,,,,2
Wildcraft India,Consumer Goods,E-Commerce,Bangalore,Karnataka,"Wildcraft is an outdoor brand providing performance gear, footwear, and clothing for adventure seekers.",560061,$50M to $100M,1992,wildcraft.com,2,Gaurav Dublish,5001-10000,4,—,"Jul 23, 2018",—,Venture - Series Unknown,"₹2,700,000,000",Flipkart,PremjiInvest,Peak XV Partners,FidelisWorld,,4
Foodlink F&B Holdings India Pvt. Ltd.,Catering,Event Management,Mumbai,Maharashtra,"Foodlink is one of India's largest F&B service enterprises operating in luxury catering, banquets, restaurants & cloud kitchens domains.",—,$1M to $10M,"Jan 1, 2003",www.foodlink.in/,2,Priya Gogte,501-1000,4,Early Stage Venture,"Nov 18, 2021","₹593,400,000",Series B,"₹1,530,800,000",Aarin Capital,OAKS Asset Management,Plutus Wealth Management,,,3
Simpolo Ceramics,Building Material,Construction,Morbi,Gujarat,"Simpolo Ceramics manufactures wall tiles, vitrified tiles, outdoor tiles, and marbles.",363642,$10M to $50M,1977,simpolo.net,1,Jitendra Aghara,1001-5000,1,Private Equity,"Sep 1, 2022","₹5,280,000,000",Private Equity,"₹5,280,000,000",Motilal Oswal Private Equity,,,,,1
Nuvoco,Building Material,Construction,Mumbai,Maharashtra,Nuvoco is a construction service provider company.,—,$50M to $100M,"Jan 1, 1999",nuvoco.in/,1,Jayakumar Krishnaswamy,1001-5000,1,IPO,"Jul 16, 2020","₹5,000,000,000",Private Equity,"₹5,000,000,000",Kotak Investment Advisors,,,,,1
Synergia Life Sciences,Biotechnology,Chemical,Mumbai,Maharashtra,"Synergia Life Sciences is a manufacturer of chemicals and chemical products, pharmaceuticals and botanical products.",—,$1M to $10M,"Jan 1, 2004",www.synergialifesciences.com,5,Anirudh Dilip Mehta,Nov-50,1,M&A,"Oct 1, 2015","₹400,000,000",Private Equity,"₹400,000,000",InvAscent,,Harshad Chhotalal Vora,,,1
LifeCell International,Biotechnology,Health Care,Chennai,Tamil Nadu,LifeCell is a private stem cell bank that brings the concept of umbilical cord stem cell banking to India.,600127,$100M to $500M,2004,www.lifecell.in/,1,S Abhaya Kumar,1001-5000,3,—,"Sep 21, 2021","₹2,550,000,000",Venture - Series Unknown,"₹2,900,000,000",OrbiMed,Brand Capital,Helion Venture Partners,,,3
Shoppers Stop,E-Commerce,Fashion,Mumbai,Maharashtra,Shoppersstop.com offers a truly remarkable shopping experience on the Internet.,400064,$100M to $500M,1991,www.shoppersstop.com,1,B. S. Nagesh,10001+,1,—,"Sep 25, 2017","$28,000,000",Venture - Series Unknown,"$28,000,000",Amazon,,,,,1
Tonbo Imaging,Electronics,Hardware,Bangalore,Karnataka,Tonbo Imaging offers advanced imaging and sensor systems for military reconnaissance and the security of critical industrial establishments.,560095,Less than $1M,2003,tonboimaging.com,4,Ankit Kumar,101-250,6,Late Stage Venture,"Mar 1, 2023","$15,000,000",Series C,"$45,900,001",BlackSoil,Celesta Capital,Qualcomm Ventures,Mumbai Angels,Artiman Ventures,6
Happily Unmarried,Consumer,Consumer Goods,New Delhi,Delhi,Happily Unmarried was anti established in 2003 with no vision and no business plan.,110020,$10M to $50M,2003,www.happilyunmarried.com,2,Rahul Anand,Nov-50,4,—,"Sep 21, 2022","₹168,000,000",Venture - Series Unknown,"$10,938,665",Info Edge,Wipro Consumer Care and Lighting,IIFL Seed Ventures,Wipro Enterprises,,4
STANLEY LIFESTYLES,Furniture,Home Decor,Bengaluru,Karnataka,"STANLEY LIFESTYLES is a furniture and home decor company offering interior, automotive seat covers, and upholstery products.",—,$1M to $10M,"Jan 1, 1996",www.lovestanley.com/,1,Sunil Suresh,01-Oct,1,Private Equity,"Sep 4, 2018","₹1,700,000,000",Private Equity,"₹1,700,000,000",Oman India Joint Investment Fund,,,,,1
Happy Forgings,Industrial,Industrial Manufacturing,Ludhiana,Punjab,Happy Forgings Ltd is a technologically auto component manufacturer serving the forging industry.,141120,—,1979,www.happyforgingsltd.com,1,Paritosh Kumar Garg,1001-5000,1,IPO,"Oct 15, 2018","₹2,000,000,000",Private Equity,"₹2,000,000,000",Motilal Oswal Private Equity,,,,,1
CoreEL,Electronics,Manufacturing,Bangalore,Karnataka,"CoreEL provides electronic system-level products and solutions to aerospace,defence and universities.",—,$50M to $100M,"Jan 1, 1999",coreel.com/,1,Ramesh Nagisetty,251-500,1,Early Stage Venture,"Dec 5, 2023","₹1,340,000,000",Series A,"₹1,340,000,000",360 ONE Asset,,,,,1
Koskii,Fashion,Wedding,Bengaluru,Karnataka,"Koskii provides fashion, quality, and affordable Indian wear.",560001,$10M to $50M,1990,www.koskii.com/,—,,51-100,1,Early Stage Venture,"Jun 28, 2023","₹610,000,000",Series A,"₹610,000,000",Baring Private Equity Partners India,STEER ADVISORS,,,,2
Mahindra Electric Automobile,Automotive,Electric Vehicle,Mumbai,Maharashtra,Mahindra Electric Automobile operates as a four-wheeler (4W) passenger electric vehicle company.,—,—,1994,mahindraelectricautomobile.com/,—,,10001+,2,Private Equity,"Aug 3, 2023","₹12,000,000,000",Private Equity,"₹31,250,000,000",British International Investment,Temasek Holdings,,,,2
iBall,Consumer Electronics,Hardware,Andheri,Maharashtra,"iBall is a privately-held electronics company that imports computer peripherals, smartphones, and tablets.",400 093,$1M to $10M,2001,www.iball.co.in/home,1,Sandeep Parasrampuria,1001-5000,2,—,"Mar 21, 2018","₹550,000,000",Venture - Series Unknown,"₹550,000,000",Brand Capital,Girik Capital,,,,2
