company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Slurrp Farm,Food and Beverage,Organic Food,Gurgaon,Haryana,Slurrp Farm is a food brand that offers millet-based packaged food products for children.,122011,$1M to $10M,2016,slurrpfarm.com/,3,Meghana Narayan,Shauravi Malik,Nov-50,6,Late Stage Venture,"Jan 8, 2024","₹ 59,90,00,000.00",Series C,"$ 1,72,79,641.00",15,Raed Ventures,Alkemi Venture Partners,Sharrp Ventures,Investment Corporation of Dubai (ICD)
Qure AI,Artificial Intelligence (AI),Health Care,Mumbai,Maharashtra,Qure AI is an artificial intelligence solution company that provides automated interpretation of radiology exams and ultrasounds scans.,400059,$100M to $500M,2016,qure.ai,2,Pooja Rao,Prashant Warier,251-500,3,Late Stage Venture,"Mar 30, 2022","$ 4,00,00,000.00",Series C,"$ 6,03,31,847.00",7,Novo Holdings,MassMutual Ventures,Peak XV Partners,HealthQuad
Agnikul,Aerospace,Manufacturing,Chennai,Tamil Nadu,Agnikul is a space tech startup that manufactures and launches orbital class rockets for micro and nano satellites.,600036,Less than $1M,2017,www.agnikul.in/,3,Moin SPM,Satyanarayanan Chakravarthy,51-100,7,Early Stage Venture,"Oct 17, 2023","₹ 2,00,00,00,000.00",Series B,"$ 5,85,66,031.00",27,Pi Ventures,LetsVenture,Shastra VC,Rocketship.vc
SpotDraft,Computer,Internet,Bangalore,Karnataka,"SpotDraft makes end-to-end contract lifecycles smoother, faster, and easier so lawyers get more time to focus on work that really matters.",560102,$10M to $50M,2017,www.spotdraft.com/,3,Madhav Bhagat,Rohith Salim,101-250,4,Early Stage Venture,"Mar 2, 2023","$ 2,60,00,000.00",Series A,"$ 2,65,50,000.00",18,PremjiInvest,Prosus Ventures,Arkam Ventures,021 Capital
Hasura,Cloud Infrastructure,Developer APIs,Bangalore,Karnataka,Hasura is a software technology company that provides developer-focused tooling products.,560034,$1M to $10M,2017,hasura.io/,2,Rajoshi Ghosh,Tanmai Gopal,101-250,4,Late Stage Venture,"Feb 22, 2022","$ 10,00,00,000.00",Series C,"$ 13,65,00,000.00",12,Vertex Ventures,Nexus Venture Partners,STRIVE,Vertex Ventures US
Cogoport,Air Transportation,Freight Service,Mumbai,Maharashtra,"Cogoport is a global trade platform that integrates solutions across a company’s trade journey such as advisory, logistics, and financing.",400069,$50M to $100M,"May 3, 2016",cogoport.com,6,Amitabh Shankar,Anurag Dabral,501-1000,5,Early Stage Venture,"Apr 6, 2022","$ 5,00,00,000.00",Series B,"$ 6,70,39,911.00",3,Tiger Global Management,DST Global,,
MCaffeine,Beauty,Consumer Goods,Mumbai,Maharashtra,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",—,$1M to $10M,2016,www.mcaffeine.com/,4,Mohit Jain,Saurabh Singhal,Nov-50,7,Late Stage Venture,"Mar 29, 2022","₹ 2,40,00,00,000.00",Series C,"$ 3,74,99,574.00",11,Nimesh Kampani,"Paragon Partners, India",Amicus Capital,7Square Ventures
Clensta,Biotechnology,Health Care,New Delhi,Delhi,Clensta is a direct-to-consumer (D2C) personal and home care startup that develops complete cleaning solutions.,110 016,$1M to $10M,2016,clensta.com,1,Puneet Gupta,,101-250,7,—,"Jul 10, 2023","₹ 75,00,00,000.00",Venture - Series Unknown,"$ 1,26,52,015.00",20,Venture Catalysts,HEM ANGELS,Keiretsu Capital,India Exim Bank
Mintifi,Financial Services,FinTech,Mumbai,Maharashtra,Mintifi is a supply chain financing platform that provides loans and other simple lending solutions.,—,Less than $1M,2017,mintifi.com,3,Ankit Mehta,Anup Agarwal,251-500,6,Late Stage Venture,"Mar 8, 2023","₹ 9,02,50,00,000.00",Series D,"$ 16,61,93,315.00",6,International Finance Corporation,PremjiInvest,Lok Capital,Norwest Venture Partners
Rainmatter Capital,Financial Services,FinTech,Bengalooru,Karnataka,Rainmatter Capital funds and incubates innovative fintech startups.,—,$1M to $10M,2016,rainmatter.com/,1,Nithin Kamath,,01-Oct,1,—,"Aug 10, 2023","₹ 1,00,00,00,000.00",Venture - Series Unknown,"₹ 1,00,00,00,000.00",1,,,,
STAGE,Apps,Content Creators,Indore,Madhya Pradesh,STAGE is an Indian language content platform for artist-led entertainment.,—,$1B to $10B,2016,www.stage.in/,2,Shashank Vaishnav,Vinay Singhal,101-250,9,Early Stage Venture,"Nov 17, 2022","₹ 40,00,00,000.00",Series A,"$ 96,89,195.00",39,Venture Catalysts,Google for Startups,We Founder Circle,Blume Ventures
ElasticRun,E-Commerce,E-Commerce Platforms,Pune,Maharashtra,ElasticRun provides a logistics and distribution platform designed to help businesses reach traditionally unserviced consumers.,411027,$100M to $500M,2016,www.elastic.run/,3,Sandeep Deshmukh,Saurabh Nigam,1001-5000,6,Late Stage Venture,"Feb 7, 2022","₹ 22,60,00,00,000.00",Series E,"$ 43,48,08,664.00",8,Prosus Ventures,Kalaari Capital,InnoVen Capital,Chimera Investment
CredAble,Finance,Financial Services,Mumbai,Maharashtra,"CredAble is a FinTech platform that helps capital financing for vendors, distributors, and dealers.",400 088,$1M to $10M,2017,www.credable.in/,3,Nirav Choksi,Rajiv Ramnarayan,101-250,5,Late Stage Venture,"Aug 2, 2022","$ 90,00,000.00",Series C,"$ 6,08,24,394.00",5,Alpha Capital,OAKS Asset Management,V Ocean Investments,Plutus Wealth Management
SatSure,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,SatSure is an innovative decision analytics company.,560001,$10M to $50M,2017,satsure.co,3,Abhishek Raju,Prateep Basu,101-250,6,Early Stage Venture,"Aug 29, 2023","$ 1,50,00,000.00",Series A,"$ 2,46,06,790.00",25,VideoVerse,ICICI Bank,xto10x Technologies,ADB Ventures
Kapiva,E-Commerce,Retail,Mumbai,Maharashtra,Kapiva is India's largest new-age Ayurveda brand,400054,$10M to $50M,2016,www.kapiva.in/,2,Ameve Sharma,Shrey Badhani,101-250,6,Late Stage Venture,"Sep 1, 2022","$ 2,80,00,000.00",Series C,"$ 4,35,00,000.00",7,Fireside Ventures,Vertex Ventures,Jetty Ventures,Sahil Gilani
Entropik,Artificial Intelligence (AI),Consumer Research,Bengaluru,Karnataka,AI-powered Integrated Market Research Platforms for agile and accurate insights. Scale up your marketing and product decisions.,560017,$10M to $50M,2016,www.entropik.io,3,Bharat Shekhawat,Lava Kumar,251-500,5,Early Stage Venture,"Feb 8, 2023","$ 2,50,00,000.00",Series B,"$ 3,43,25,000.00",13,Alpha Wave Global,Bessemer Venture Partners,Alteria Capital,Trifecta Capital Advisors
MyGate,Apps,Information Services,Bengaluru,Karnataka,Society Management Software/App,560102,$50M to $100M,2016,mygate.com,3,Abhishek Kumar,Shreyans Daga,501-1000,4,Early Stage Venture,"Nov 23, 2022","₹ 1,00,00,00,000.00",Series B,"$ 7,95,12,841.00",6,Urban Company,Acko,Tiger Global Management,Prime Venture Partners
MathCo,Analytics,Artificial Intelligence (AI),Bengaluru,Karnataka,Global Enterprise AI and Analytics company,560025,$10M to $50M,Sep-16,mathco.com/,3,Aditya Kumbakonam,Anuj Krishna,1001-5000,2,—,"Jan 13, 2022","$ 5,00,00,000.00",Venture - Series Unknown,"$ 5,00,00,000.00",2,Arihant Patni,,,
BharatAgri,Agriculture,AgTech,Pune,Maharashtra,BharatAgri is a platform that delivers actionable insights that help increase the yield and income of farmers.,411045,$10M to $50M,2017,www.bharatagri.com,2,Sai Gole,Siddharth Dialani,51-100,9,Early Stage Venture,"Oct 19, 2023","₹ 35,00,00,000.00",Series A,"$ 1,56,92,312.00",17,Google for Startups,Omnivore,Better Capital,Arkam Ventures
Venture Catalysts,Angel Investment,Finance,Mumbai,Maharashtra,"Venture Catalysts is an integrated incubator that offers funding, mentorship, and network.",400059,$1M to $10M,"Jan 16, 2016",venturecatalysts.in,4,Anil Jain,Anuj Golecha,101-250,2,Seed,"Apr 5, 2018",—,Seed,"$ 5,00,000.00",2,Zaffiro Ventures,,,
Arata,Cosmetics,E-Commerce,New Delhi,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,—,$1M to $10M,"Jan 1, 2017",www.arata.in/,1,Dhruv Madhok,,Nov-50,2,Seed,"May 11, 2022","$ 3,50,00,000.00",Seed,"$ 3,54,92,424.00",2,Abhishek Deo,,,
Tractor Junction,AgTech,E-Commerce,Alwar,Rajasthan,India's Leading DIgital Marketplace for Tractors and Farm Equipments,301001,$1M to $10M,2016,www.tractorjunction.com/,1,Rajat Gupta,,101-250,3,Seed,"Apr 27, 2022","₹ 43,00,00,000.00",Seed,"$ 57,32,770.00",10,Rockstart,Omnivore,Info Edge ventures,Vikram Chopra
MakeO,Clinical Trials,Outpatient Care,Mumbai,Maharashtra,MakeO is a provider of dental care services aimed at providing clear aligners that are invisible and cost-effective.,—,—,2017,makeo.app,3,Anirudha Kale,Arpi Mehta,251-500,1,Late Stage Venture,"Jan 9, 2024","₹ 1,35,00,00,000.00",Series D,"₹ 1,35,00,00,000.00",3,360 ONE Asset,Paramark Ventures,,
GrayQuest,Financial Services,,Mumbai,Maharashtra,GrayQuest is a payment platform for college and schools fees.,400012,$10M to $50M,2017,www.grayquest.com/v2/,1,Rishab Mehta,,101-250,4,Early Stage Venture,"Mar 9, 2023","₹ 56,00,00,000.00",Series A,"$ 1,17,83,698.00",35,Revant Bhate,Pravega Ventures,Anupam Mittal,Sujeet Kumar
StanPlus,Health Care,Hospital,Hyderabad,Andhra Pradesh,A Health And Healthcare Company.,—,$1M to $10M,2016,www.stanplus.com,3,Antoine Poirson,Jose Leon,Nov-50,4,Early Stage Venture,"Jan 24, 2022","₹ 1,50,00,00,000.00",Series A,"$ 2,26,95,103.00",14,Kishore Ganji,Kstart,Prashant Malik,Hyderabad Angels
Third Wave Coffee,Coffee,Manufacturing,Bengaluru,Karnataka,Third wave coffee is a manufacturer and distributor of specialty coffee bags that helps to make barista quality coffee anytime.,560102,$1M to $10M,2016,www.thirdwavecoffeeroasters.com,3,Anirudh Sharma,Ayush Bathwal,101-250,5,Late Stage Venture,"Sep 28, 2023","$ 3,50,00,000.00",Series C,"$ 6,20,00,000.00",8,Sujeet Kumar,peercheque,Creaegis,Nikhil Kamath
Bolt.Earth,Automotive,Electric Vehicle,Bangalore,Karnataka,Bolt.Earth provides charging products and end-to-end solutions for electric vehicles.,560102,$1M to $10M,2017,bolt.earth,1,Jyotiranjan Harichandan,,251-500,5,Early Stage Venture,"Oct 5, 2023","$ 2,00,00,000.00",Series B,"$ 2,40,00,000.00",8,Union Square Ventures,Prime Venture Partners,Hyderabad Angels,CIE IIIT Hyderabad
Dozee,Artificial Intelligence (AI),Health Care,Bengaluru,Karnataka,Dozee develops a contactless remote patient monitoring and early warning system powered by AI.,—,$10M to $50M,"Oct 8, 2015",www.dozee.health,2,Gaurav Parchani,Mudit Dandwate,101-250,6,Early Stage Venture,"Apr 4, 2023","$ 60,00,000.00",Series A,"$ 2,56,23,776.00",9,British International Investment,Prime Venture Partners,JioGenNext,3one4 Capital
mfine,Apps,Artificial Intelligence (AI),Bengaluru,Karnataka,Mfine is a health-tech startup developing an AI-powered telemedicine mobile app.,560103,$50M to $100M,2017,www.mfine.co/,4,Ajit Narayanan,Arjun Choudhary,251-500,7,Late Stage Venture,"Aug 31, 2021","₹ 3,56,10,00,000.00",Series C,"$ 9,75,68,082.00",12,Alteria Capital,Prime Venture Partners,BEENEXT,Heritas Capital
Celebal Technologies,Consulting,Information Technology,Jaipur,Rajasthan,"Celebal Technologies is a premier software services company in the field of Data Science, Big Data and Enterprise Cloud.",302017,$10M to $50M,Jun-16,celebaltech.com/,"speed and accuracy.\"",—,1,,,https://www.crunchbase.com/organization/norwest-venture-partners,1001-5000,1,—,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_at/celebal-technologies,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/celebal-technologies,₹2",614,0,"000""",,1,,,,,,,,,
Skit,Artificial Intelligence (AI),Call Center,Bangalore,Karnataka,Augmented Voice Intelligence Platform that helps businesses modernize their contact centers and CX.,—,$50M to $100M,"Oct 4, 2016",skit.ai,2,Akshay Deshraj,Manoj Sarda,251-500,5,Early Stage Venture,"Sep 1, 2021","$ 2,30,00,000.00",Series B,"$ 2,81,00,000.00",13,Westbridge Capital,Kalaari Capital,Shastra VC,Exfinity Venture Partners
Wheels Eye,Information Services,Information Technology,Gurgaon,Haryana,WheelsEye is an investment in logistics-tech startup.,122018,$1M to $10M,2017,wheelseye.com//,2,Anshul Mimani,Manish Somani,1001-5000,1,—,"Aug 30, 2018","₹ 7,00,00,000.00",Venture - Series Unknown,"₹ 7,00,00,000.00",1,,,,
Borzo,Courier Service,Delivery,Mumbai,Maharashtra,Borzo is a global crowdsourced same-day delivery marketplace operating in 9 countries on a fully asset-light basis.,—,$1M to $10M,"Aug 1, 2016",borzodelivery.com,3,Aleks Shamis,Dmitry Zubkov,501-1000,9,Late Stage Venture,"Aug 30, 2021","$ 3,50,00,000.00",Series C,"$ 5,89,95,000.00",10,FJ Labs,Flashpoint,Redseed,VNV Global
Wellthy Therapeutics,Health Care,Health Insurance,Mumbai,Maharashtra,Wellthy’s mission is to advance health equity through digital care in all parts of the world,400021,$1M to $10M,Dec-15,www.wellthytherapeutics.com,4,Abhishek Shah,Aradh Pillai,101-250,5,M&A,"Dec 16, 2020",—,Venture - Series Unknown,"$ 85,06,792.00",8,Cipla,BEENEXT,growX ventures,Department for Promotion of Industry and Internal Trade (DPIIT)
Propelld,EdTech,Education,Bangalore,Karnataka,Propelld is an education-focused fintech platform used by students to get access to funding for completing education.,560102,$10M to $50M,2017,propelld.com/,3,Bibhu Prasad Das,Brijesh Samantaray,101-250,4,Early Stage Venture,"Feb 18, 2022","$ 3,50,00,000.00",Series B,"$ 3,74,50,000.00",9,Westbridge Capital,India Quotient,Stellaris Venture Partners,Ramakant Sharma
Happilo,Food and Beverage,Personal Health,Bangalore,Karnataka,Happilo operates as a healthy food brand.,560022,$1M to $10M,2016,happilo.com/,1,Vikas D Nahar,,101-250,2,—,"Feb 21, 2022","$ 2,50,00,000.00",Venture - Series Unknown,"$ 3,87,14,006.00",2,Motilal Oswal Private Equity,,,
Loadshare Networks,Delivery Service,Industrial Automation,Software,Supply Chain Management,"Loadshare Network  provides logistical software solutions focusing on first-mile, line-haul, and last-mile delivery services.",560047,$1M to $10M,2017,www.loadshare.net,4,India,Asia-Pacific (APAC),101-250,7,Late Stage Venture,"Feb 1, 2022","₹ 3,00,00,00,000.00",Series C,"$ 5,93,98,554.00",12,Matrix Partners India,Alteria Capital,BEENEXT,
Trell,E-Commerce,E-Commerce Platforms,Bangalore City,Karnataka,Trell is a lifestyle social commerce platform where users share 3-minute videos showing their interests.,560102,$1M to $10M,2016,trell.co,4,Arun Lodhi,Bimal Kartheek Rebba,101-250,6,Early Stage Venture,"Jul 12, 2021","₹ 3,35,00,00,000.00",Series B,"$ 6,18,91,137.00",37,Fosun RZ Capital,Samsung Ventures,Peak XV Partners,BEENEXT
Rubix Data Sciences,Analytics,Business Information Systems,Mumbai,Maharashtra,Rubix Data Sciences is a technology and analytics-based B2B risk management and monitoring platform.,400086,$1M to $10M,2017,rubixds.com/,4,Kaushal Sampat,Mohan Ramaswamy,101-250,2,Seed,"May 10, 2021","₹ 6,20,00,000.00",Seed,"₹ 16,18,00,000.00",1,,,,
Melorra,E-Commerce,Fashion,Bengaluru,Karnataka,Melorra is a jewelry brand that designs and retails affordable and trendy jewelry for everyday wear.,560037,$10M to $50M,2016,www.melorra.com,2,Krishna Kumar,Saroja Yeramilli,101-250,9,Late Stage Venture,"May 17, 2022","$ 1,40,00,000.00",Series D,"$ 9,44,44,659.00",23,BlackSoil,Venture Catalysts,LetsVenture,Alteria Capital
Lendbox,Crowdfunding,Financial Services,Delhi,Delhi,India's leading P2P and alternative investments platform,110024,$1M to $10M,"Oct 5, 2015",www.lendbox.in,4,BHUVAN RUSTAGI,EKMEET SINGH,101-250,2,Early Stage Venture,"Mar 7, 2021","$ 15,00,000.00",Series A,"$ 23,47,218.00",1,,,,
Chakr Innovation,Energy,Renewable Energy,New Delhi,Delhi,Chakr Innovation develops technologies that combat the grave threat posed by pollution.,110019,$1M to $10M,"Jun 24, 2016",www.chakr.in/,3,Arpit Dhupar,Kushagra Srivastava,51-100,6,Early Stage Venture,"Nov 22, 2021",—,Series B,"₹ 25,00,00,000.00",9,Singapore Angel Network,Neev Fund,IDFC-Parampara Fund,IAN Fund
Unstop,College Recruiting,EdTech,New Delhi,Delhi,"Unstop is an Early Talent Engagement & Hiring Platform with a community of ~4.5 Mn Students, Freshers, and 0-5 years Working Professionals.",110066,$10M to $50M,"Jun 14, 2016",unstop.com/,1,Ankit Aggarwal,,51-100,1,Seed,"Aug 2, 2023","$ 50,00,000.00",Seed,"$ 50,00,000.00",5,Venture Catalysts,Coursera,Mynavi,Pankaj Bansal
PhonePe,FinTech,Mobile Apps,Andheri,Maharashtra,PhonePe is a mobile payment application that enables users to transfer money.,400093,$50M to $100M,Dec-15,www.phonepe.com,3,Burzin Engineer,Rahul Chari,5001-10000,18,Private Equity,"May 22, 2023","$ 10,00,00,000.00",Private Equity,"$ 2,59,37,46,727.00",7,Walmart,Flipkart,General Atlantic,Tiger Global Management
KredX,Finance,Financial Services,Bangalore,Karnataka,KredX is an online invoice discounting platform where business owners get an opportunity to raise funds for their working capital needs.,560103,$1M to $10M,"Sep 13, 2015",www.kredx.com/,2,Anurag Jain,Manish Kumar,101-250,3,Early Stage Venture,"Dec 11, 2019","$ 2,60,00,000.00",Series B,"$ 3,27,37,240.00",3,Prime Venture Partners,Peak XV Partners,,
ITILITE,Business Travel,Information Technology,Bangalore,Karnataka,Corporate travel & expense management platform that simplifies the travel booking process and helps save costs.,—,$1M to $10M,2017,www.itilite.com/,2,Anish Khadiya,Mayank Kukreja,251-500,4,Late Stage Venture,"Apr 13, 2022","₹ 2,21,00,00,000.00",Series C,"$ 4,63,04,087.00",7,Tiger Global Management,Matrix Partners India,Dharana Capital,Vy Capital
AutoVRse,Apps,Software,Bengaluru,Karnataka,AutoVRse is a software company that build virtual and augmented Reality applications.,560078,$1M to $10M,2016,autovrse.in,—,,,Nov-50,1,Seed,"Feb 20, 2024","₹ 16,60,00,000.00",Seed,"₹ 16,60,00,000.00",6,Deepak Kumar,Lumikai,Rajat Monga,Yash Kotak
Recykal,Information Technology,Software,Hyderabad,Andhra Pradesh,Recykal is an Indian clean-tech startup powering largest Circular Economy Marketplace in Asia.,500032,$10M to $50M,2016,recykal.com/,5,Abhay Deshpande,Abhishek Deshpande,251-500,3,Early Stage Venture,"Sep 1, 2022","$ 73,60,000.00",Series A,"$ 3,13,60,000.00",8,Circulate Capital,Idea Entity,Bank of Singapore,Triton Investment Advisors LLP
Fitterfly,Diabetes,Health Care,Mumbai,Maharashtra,Fitterfly offers customized and personalized wellness programs for diabetes care and weight loss.,—,$1M to $10M,"Sep 1, 2016",www.fitterfly.com,2,Arbinder Singal,Shailesh Gupta,101-250,4,Early Stage Venture,"Jul 20, 2022","$ 1,20,00,000.00",Series A,"$ 1,81,00,000.00",7,Venture Catalysts,Fireside Ventures,Amazon Smbhav Venture Fund,Metaform Ventures
Smytten,Consumer,Content Discovery,Bengaluru,Karnataka,Smytten is an online discovery platform that offers direct-to-home product trials for D2C brands.,—,$50M to $100M,Nov-15,smytten.com,2,Siddhartha Nangia,Swagat Sarangi,101-250,5,Early Stage Venture,"May 16, 2022","₹ 1,00,00,00,000.00",Series B,"$ 2,18,52,505.00",10,Sharrp Ventures,Roots Ventures,Arjun Purkayastha,Survam Partners
Zyla Health,Health Care,Hospitality,New Delhi,Delhi,Zyla Health is an AI-based healthcare management platform that offers healthy heart program and defeating diabetes program.,110017,$1M to $10M,2017,www.zyla.in,1,Tanmay Patil,,51-100,5,Early Stage Venture,"Nov 30, 2023","$ 40,00,000.00",Series A,"$ 50,07,956.00",18,Google for Startups,Exfinity Venture Partners,Aureolis Ventures,Kae Capital
PlanetSpark,E-Learning,EdTech,Gurgaon,Haryana,PlanetSpark is an after-school Math and English learning program for pre-teen kids between grades 2nd to 7th.,122002,$10M to $50M,Aug-16,www.planetspark.in,2,Kunal Malik,Maneesh Dhooper,1001-5000,3,Early Stage Venture,"Dec 7, 2021","$ 1,35,00,000.00",Series B,"$ 1,41,69,068.00",10,Prime Venture Partners,Binny Bansal,FIITJEE,Lead Angels Network
Oxyzo,Credit,Financial Services,Gurgaon,Haryana,"Oxyzo offers credit solutions that customized to help SMEs expand their operations, revenue, and consequently their profit margins",122002,$50M to $100M,2016,www.oxyzo.in,3,Asish Mohapatra,Bhuvan Gupta,251-500,1,Early Stage Venture,"Mar 23, 2022","$ 20,00,00,000.00",Series A,"$ 20,00,00,000.00",5,Alpha Wave Global,Matrix Partners India,Norwest Venture Partners,"Creation Investments Capital Management, LLC"
SwitchOn,Artificial Intelligence (AI),Automotive,Bengaluru,Karnataka,SwitchOn is an industrial IoT firm that uses AI to help precision manufacturing companies reduce manufacturing failures.,560008,$1M to $10M,2017,switchon.io,2,Aniruddha Banerjee,Avra Banerjee,Nov-50,2,Early Stage Venture,"Apr 17, 2023","₹ 34,40,00,000.00",Series A,"$ 51,94,874.00",7,Axilor Ventures,Pi Ventures,Lakshmi Narayanan,Anuj Bihani
