company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Exotel,Cloud Data Services,CRM,Bangalore,Karnataka,"Exotel is a SaaS company with full stack customer engagement, including contact center software, communications API, and conversational AI.",560 008,$50M to $100M,2011,exotel.com,4,Ishwar Sridharan,251-500,6,Late Stage Venture,"Jan 3, 2022","$ 4,00,00,000.00",Series D,"$ 8,72,94,124.00",Blume Ventures,A91 Partners,360 ONE Asset,Mumbai Angels,Steadview Capital,13
CarDekho,Automotive,E-Commerce,Gurgaon,Haryana,CarDekho is a car search platform working to digitize the auto ecosystem.,122001,$10M to $50M,2008,www.cardekho.com,2,Amit Jain,501-1000,9,Late Stage Venture,"Oct 13, 2021","$ 20,00,00,000.00",Series E,"$ 49,75,00,000.00",HDFC Bank,Mirae Asset,Sequoia Capital,LeapFrog Investments,Aquila Capital,22
BlueStone,E-Commerce,Jewelry,Bangalore,Karnataka,BlueStone is an omnichannel jewelry retailer that offers a variety of high-quality jewelry.,560037,$1M to $10M,2011,bluestone.com,3,Gaurav Kushwaha,1001-5000,10,—,"Mar 15, 2022","$ 3,00,00,000.00",Venture - Series Unknown,"$ 10,01,39,914.00",IIFL Finance,Accel,IvyCap Ventures,Dragoneer Investment Group,Kalaari Capital,14
Rite Water Solutions,Chemical,Water,Nagpur,Maharashtra,Rite Water Solutions offers potable water and water quality improvement solutions.,440010,$1M to $10M,2010,ritewater.in/,2,Abhijeet Gaan,101-250,3,Early Stage Venture,"Feb 10, 2024","₹ 32,50,00,000.00",Series B,"₹ 97,50,00,000.00",Abhiraj Jalota,Incofin Investment Management,Gunavanth Vaid,Samridhi Fund,Mukul Agarwal,5
Chai Point,Food and Beverage,Food Processing,Bangalore,Karnataka,Chai Point is an omni-channel beverage brand that brings a perfectly brewed cup of chai.,560029,$10M to $50M,2010,chaipoint.com/,2,Amuleek Singh Bijral,1001-5000,11,Late Stage Venture,"May 9, 2022","$ 21,80,000.00",Series C,"$ 5,66,01,395.00",Eight Roads Ventures,InnoVen Capital,DSG Consumer Partners,Saama Capital,"Paragon Partners, India",7
Heads Up For Tails,Animal Feed,E-Commerce,New Delhi,Delhi,Heads Up For Tails is an online marketplace that offers products for the customer's pet dog.,110017,$10M to $50M,2008,headsupfortails.com,3,Rashi Narang,101-250,4,Early Stage Venture,"Aug 12, 2021","₹ 2,77,00,00,000.00",Series A,"$ 5,03,01,196.00",Peak XV Partners,Verlinvest,Campden Hill Capital,Amitell Capital,W&C PetTech,5
Ola,Apps,Mobile,Kormangala,Karnataka,Ola is a mobility platform and ride-hailing company that integrates city transportation for customers and driver partners.,560034,$100M to $500M,"Dec 3, 2010",www.olacabs.com,3,Ankit Bhati,5001-10000,30,Late Stage Venture,"Feb 22, 2022","₹ 1,50,00,00,000.00",Series J,"$ 4,96,69,43,275.00",SoftBank,Vanguard,Tencent,Yes Bank,IIFL Finance,61
Capillary Technologies,Analytics,Enterprise Software,Bengaluru,Karnataka,Capillary Technologies develops customized and cloud-based customer analytics and marketing platforms.,560102,$50M to $100M,"Aug 1, 2008",www.capillarytech.com,3,Ajay Modani,251-500,10,Late Stage Venture,"Jun 1, 2023","$ 4,00,00,000.00",Series D,"$ 14,71,00,000.00",Warburg Pincus,Qualcomm Ventures,American Express Ventures,Peak XV Partners,InnoVen Capital,11
Magicbricks,Commercial Real Estate,Online Portals,Noida,Uttar Pradesh,Magicbricks is India’s No.1 property site.,201301,$50M to $100M,2006,www.magicbricks.com/,—,,1001-5000,1,—,"Mar 8, 2017","₹ 30,00,00,000.00",Venture - Series Unknown,"₹ 30,00,00,000.00",Times Internet,,,,,1
YourStory,Information Technology,Internet,Bangalore,Karnataka,YourStory.com is a media platform that covers the startup ecosystem in India.,560038,$10M to $50M,"Oct 1, 2008",yourstory.com/,1,Shradha Sharma,101-250,3,Early Stage Venture,"Oct 2, 2017","$ 30,00,000.00",Series B,"$ 84,69,522.00",3one4 Capital,Qualcomm Ventures,Kalaari Capital,Mohandas Pai,UC-RNT Fund,6
Stellapps,AgTech,Analytics,Bangalore,Karnataka,Stellapps designs dairy management software applications that leverage the power of technology to improve dairy supply chain parameters.,560068,$1M to $10M,2011,www.stellapps.com,6,Jinesh Shah,101-250,10,—,"Feb 17, 2022",—,Venture - Series Unknown,"$ 3,68,06,757.00",Bill & Melinda Gates Foundation,Blume Ventures,Omnivore,Stride Ventures,Nutreco,14
CarTrade,Auctions,Automotive,Mumbai,Maharashtra,CarTrade.com is India’s leading online automotive market for buyers and sellers of new and used vehicles.,400025,Less than $1M,2009,www.cartrade.com,2,Rajan Mehra,1001-5000,8,—,"Apr 12, 2021","₹ 1,84,00,00,000.00",Venture - Series Unknown,"$ 30,73,51,129.00",IIFL Finance,Warburg Pincus,Temasek Holdings,Tiger Global Management,March Capital,9
Adda247,EdTech,,Gurgaon,Haryana,Adda247 is a largest edtech platform catering to more than 40 million users in a year,122022,$50M to $100M,2010,www.adda247.com,2,Anil Nagar,101-250,4,Early Stage Venture,"Oct 1, 2022","₹ 2,79,40,00,000.00",Series B,"$ 6,12,05,105.00",Google,Info Edge,JM Financial,Westbridge Capital,WestBridge Capital,7
iD Fresh Food,E-Commerce,Food and Beverage,Bengaluru,Karnataka,ID Fresh Food is a Bangalore-based company that offers Indian food.,560048,$50M to $100M,2005,www.idfreshfood.com/,5,Abdul Nazer,101-250,4,Late Stage Venture,"Jan 4, 2022","₹ 5,07,00,00,000.00",Series D,"$ 9,92,04,713.00",Sequoia Capital,PremjiInvest,Bennett Coleman and Co Ltd,NewQuest Capital Partners,Helion Venture Partners,5
Chumbak,E-Commerce,Lifestyle,Bangalore,Karnataka,"Chumbak, a Bangalore, India-based gifting startup. Founded by Subhra Chadda, Chumbak sells designer t-shirts, tins, coffee mugs shot",560037,$10M to $50M,"Sep 15, 2009",www.chumbak.com/,2,Subhra Chadda,Nov-50,6,M&A,"May 6, 2019","₹ 70,00,00,000.00",Series D,"$ 2,69,63,740.00",BlackSoil,Matrix Partners India,Gaja Capital,SeedFund.in,Narayan Ramachandran,5
Utkarsh Small Finance Bank,Banking,Financial Services,Varanasi,Uttar Pradesh,Utkarsh Small Finance Bank provides a range of banking services.,221002,$10M to $50M,2009,www.utkarsh.bank/,1,Govind Singh,10001,4,—,"Mar 22, 2021","₹ 2,40,50,00,000.00",Venture - Series Unknown,"$ 6,92,07,067.00",British International Investment,responsAbility Investments,Aavishkaar Venture Capital,Triodos Bank,Olympus Capital Holdings Asia,6
Pepperfry,E-Commerce,Furniture,Mumbai,Maharashtra,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,—,$50M to $100M,2011,www.pepperfry.com,2,Ambareesh Murty,501-1000,11,Private Equity,"Sep 5, 2023","$ 2,30,00,000.00",Private Equity,"$ 30,83,41,627.00",Goldman Sachs,Bertelsmann,InnoVen Capital,Bertelsmann India Investments,State Street Global Advisors,13
BankBazaar.com,E-Commerce,Finance,Chennai,Tamil Nadu,BankBazaar is India’s largest fintech co-branded credit card issuer and online platform for free credit score with 50Mn registered users.,600113,$10M to $50M,"Jul 1, 2008",www.bankbazaar.com,3,Adhil Shetty,1001-5000,6,Late Stage Venture,"Apr 10, 2020","$ 38,00,000.00",Series D,"$ 11,50,00,000.00",Amazon,Eight Roads Ventures,Experian,Walden International,Peak XV Partners,16
Kinara Capital,Business Development,Finance,Bengaluru,Karnataka,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,560038,Less than $1M,2011,kinaracapital.com,1,Hardika Shah,501-1000,11,—,"Oct 28, 2022","₹ 2,00,00,00,000.00",Venture - Series Unknown,"$ 15,35,51,492.00",British International Investment,IndusInd Bank,responsAbility Investments,Impact Investment Exchange (IIX),Michael & Susan Dell Foundation,14
Bloom Hotels,Hospitality,Hotel,New Delhi,Delhi,Bloom Hotels is an operator of a chain of hotels and restaurants providing quality hospitality services.,110001,$1M to $10M,2006,staybloom.com/,3,Gobind Singh Akoi,101-250,2,Early Stage Venture,"Nov 7, 2018",—,Series B,"₹ 1,10,00,00,000.00",CX Partners,Samena Capital,Ikonika Holdings,,,3
Quess Corp,Information Technology,Recruiting,Bengaluru,Karnataka,"Quess Corp Ltd., India’s largest business services provider established in 2007.",560103,$50M to $100M,"Oct 15, 2007",quesscorp.com/,—,,10001,1,M&A,"Jun 28, 2016","$ 2,65,00,000.00",Venture - Series Unknown,"$ 2,65,00,000.00",Fidelity,Goldman Sachs,BlackRock,Wasatch Advisors,,4
Vikran Engineering & Exim,Electrical Distribution,Energy,Thane,Maharashtra,"Vikran Engineering and Exim offers an integrated services for infrastructures project, power transmission, EHV Substation.",400604,$10M to $50M,2008,www.vikrangroup.com,—,,501-1000,1,—,"Jan 25, 2024","₹ 81,50,00,000.00",Venture - Series Unknown,"₹ 81,50,00,000.00",Ashish Kacholia,Pantomath Capital,,,,2
Onsitego,Consumer,Consumer Electronics,Mumbai,Maharashtra,"Onsitego is India’s leading device-care provider and offers Extended Warranty, Damage Protection, AMC Plans, and On-Demand Repair Services.",400059,$1M to $10M,Aug-10,onsitego.com,1,Kunal Mahipal,101-250,4,Early Stage Venture,"Sep 22, 2020","₹ 70,00,00,000.00",Series B,"$ 2,85,23,402.00",Accel,International Finance Corporation,Zodius Capital,,,3
Niva Bupa,Financial Services,Health Care,New Delhi,Delhi,"Niva Bupa is a health insurance company that provides health insurance plans for families, individuals, and senior citizens.",110044,$100M to $500M,2008,www.nivabupa.com,1,Damien Marmion,1001-5000,2,M&A,"Oct 12, 2023","₹ 8,00,00,00,000.00",Private Equity,"₹ 8,90,80,00,000.00",Axis Bank,Temasek Holdings,Motilal Oswal Financial Services,Paragon Partners,,4
Hopscotch,Apparel,E-Commerce,Mumbai,Maharashtra,"Hopscotch is an online store and clothing brand that offers fast-fashion, kids apparel.",400 025,$50M to $100M,2011,www.hopscotch.in,1,Rahul Anand,251-500,7,Late Stage Venture,"May 24, 2023","$ 2,00,00,000.00",Series E,"$ 7,28,00,000.00",Amazon,Marc Lore,Rise Capital,Jabbar Internet Group,Eduardo Saverin,18
Star Health and Allied Insurance,Health Care,Health Insurance,Nungambakkam,Tamil Nadu,"Star Health and Allied Insurance provides affordable Medical Insurance, Accident Insurance, Travel Insurance Plans.",600 034,$10B+,2006,www.starhealth.in/,1,Subbarayan Prakash,1001-5000,4,M&A,"Nov 30, 2021","₹ 3,21,70,00,000.00",Private Equity,"₹ 15,71,70,00,000.00",Societe Generale,GIC,Abu Dhabi Investment Authority,Peak XV Partners,Apis Partners,13
Wow! Momo,Food and Beverage,Food Delivery,Kolkata,West Bengal,Wow! Momo is a chain of fastfood restaurants that specializes in momos.,—,$10M to $50M,2008,www.wowmomo.com/,3,Binod Kumar Homagai,251-500,10,Late Stage Venture,"Jan 16, 2024","₹ 4,10,00,00,000.00",Series D,"$ 12,69,12,303.00",Tiger Global Management,Indian Angel Network,Anicut Capital,Khazanah Nasional,Lighthouse Funds,12
GirnarSoft,Developer Tools,Enterprise Software,Jaipur,Rajasthan,GirnarSoft is a business value focused IT company working on offshore and outsourced software development.,302037,$1M to $10M,"Nov 1, 2007",girnarsoft.com/,2,Amit Jain,501-1000,5,Late Stage Venture,"Dec 4, 2019","$ 4,00,50,000.00",Series D,"$ 10,86,50,000.00",Sequoia Capital,Hillhouse Investment,CapitalG,Trifecta Capital Advisors,Tybourne Capital Management,5
MedPlus,E-Commerce,Health Care,Hyderabad,Andhra Pradesh,MedPlus is a chain of pharmacies in South India.,500037,$10M to $50M,2006,www.medplusindia.com/,1,Madhukar Gangadi,10001,7,Private Equity,"Feb 11, 2021","₹ 1,00,00,00,000.00",Private Equity,"$ 31,76,95,079.00",Goldman Sachs,Warburg Pincus,PremjiInvest,TVS Capital Funds,Peepul Capital LLC,6
Head Digital Works,Internet,Online Games,Madhapur,Andhra Pradesh,"Head Infotech India Pvt Ltd., an online gaming company, develops gaming applications for the online gaming industry.",500081,$1M to $10M,2006,www.hdworks.in/,1,Deepak Gullapalli,101-250,1,Private Equity,"May 1, 2017","$ 7,37,00,000.00",Private Equity,"$ 7,37,00,000.00",Clairvest Group,,,,,1
nearbuy,Apps,E-Commerce,New Delhi,Delhi,"NearBuy lets you discover the best things to do, buy and avail near you.",110062,$50M to $100M,2011,www.nearbuy.com/,3,Ankur Warikoo,501-1000,3,M&A,"Apr 3, 2017","$ 1,50,00,000.00",Venture - Series Unknown,"$ 3,72,37,275.00",BlackSoil,Peak XV Partners,,,,2
Meril Life,Health Care,Life Science,Vapi,Daman and Diu,"Meril is a global medical device company that innovates, designs, manufactures, and distributes clinically relevant devices",396 191,$500M to $1B,"Jan 1, 2006",www.merillife.com/,1,Dhruvi Kotadiya,1001-5000,1,Private Equity,"Feb 22, 2022","₹ 15,00,00,00,000.00",Private Equity,"₹ 15,00,00,00,000.00",Warburg Pincus,,,,,1
FreeCharge,Coupons,E-Commerce,Mumbai,Maharashtra,FreeCharge is a service that gives users coupons for charging their mobile plans.,400051,$1M to $10M,2010,www.freecharge.in/,2,Kunal Shah,251-500,7,M&A,"Sep 21, 2017",—,Venture - Series Unknown,"$ 17,76,39,874.00",Snapdeal,Sofina,Peak XV Partners,InnoVen Capital,Valiant Capital Partners,7
Netmeds,E-Commerce,Health Care,Chennai,Tamil Nadu,Welcome to India's most convenient pharmacy!,600014,$1M to $10M,2010,www.netmeds.com,1,Pradeep Dadha,501-1000,3,M&A,"Sep 1, 2018","$ 3,50,00,000.00",Series C,"$ 9,90,00,000.00",OrbiMed,Sistema Asia Capital,Tanncam Investment,Daun Penh Cambodia Group,,4
ShopClues,E-Commerce,Internet,Gurgaon,Haryana,Shop Clues provides a platform to establish a connection between buyers and sellers in a managed environment.,122 001,$10M to $50M,2011,www.shopclues.com,3,Radhika Aggarwal,1001-5000,12,M&A,"Sep 19, 2019","₹ 7,86,00,000.00",Venture - Series Unknown,"$ 25,70,02,291.00",GIC,Tiger Global Management,Nexus Venture Partners,Matrix Partners India,InnoVen Capital,13
CleanMax,Energy,Environmental Consulting,Mumbai,Maharashtra,CleanMax is an Indian rooftop solar developer.,400004,$100M to $500M,2011,www.cleanmax.com,2,Andrew Hines,101-250,4,M&A,"Dec 21, 2021","$ 3,40,00,000.00",Venture - Series Unknown,"$ 18,82,26,426.00",Warburg Pincus,International Finance Corporation,IFU,Augment Infrastructure,UK Climate Investments (UKCI),5
Light Microfinance,Finance,Financial Services,Ahmedabad,Gujarat,Light Microfinance is a microfinance company that offers financial products and services through gender and poverty-focused programs.,380015,$1M to $10M,2008,www.lightmicrofinance.com,1,Deepak Amin,101-250,3,Early Stage Venture,"Sep 22, 2022","₹ 1,96,00,00,000.00",Series B,"₹ 3,06,66,00,000.00",British International Investment,Northern Arc,Incofin Investment Management,Triple Jump,Nordic Microfinance Initiative,6
AuthBridge,Consulting,Human Resources,Haryana,Haryana,"AuthBridge, one of India’s Leading Background Verification and Risk Mitigation Companies.",122016,$100M to $500M,2005,authbridge.com/,1,Ajay Trehan,501-1000,2,Early Stage Venture,"Dec 5, 2021","₹ 52,60,00,000.00",Series B,"₹ 52,60,00,000.00",Phi Capital,Infinity Alternatives,,,,2
MarketsandMarkets Research Pvt. Ltd.,Analytics,Association,Pune,Maharashtra,MarketsandMarkets Research Pvt. Ltd. is a global market research and consulting firm that publishes strategic analysis reports.,411013,$100M to $500M,"Sep 12, 2010",www.marketsandmarkets.com,1,Sandeep Sugla,1001-5000,1,Private Equity,"Mar 22, 2017","$ 5,60,00,000.00",Private Equity,"$ 5,60,00,000.00",FTV Capital,Zodius Capital,,,,2
Kaar Technologies,Consulting,Information Services,Chennai,Tamil Nadu,"Kaar Tech is a consulting firm that specializes in designing, delivering, and deploying the SAP expertise to empower companies.",—,$10M to $50M,"Jan 1, 2005",www.kaartech.com/,2,Chandrasekaran Venugopal,501-1000,2,—,"Jun 26, 2023","₹ 2,40,00,00,000.00",Venture - Series Unknown,"₹ 2,70,00,00,000.00",BlackSoil,A91 Partners,,,,2
Enzene Biosciences,Biotechnology,Delivery,Maharashtra,India,Enzene Biosciences is a technology driven Biotech Company,411026,$50M to $100M,"Aug 28, 2006",www.enzene.com/,1,F-Prime Capital,101-250,1,—,"Jan 30, 2023","₹ 4,10,00,00,000.00",Venture - Series Unknown,"₹ 4,10,00,00,000.00",Alkem Laboratories,Eight Roads Ventures India,,,,3
Ecozen,Agriculture,AgTech,Pune,Maharashtra,Ecozen is a technology company that enables a farm-to-fork value chain for perishables.,411033,$10M to $50M,"Oct 20, 2010",ecozensolutions.com,3,Devendra Gupta,101-250,12,Late Stage Venture,"Jan 24, 2023","₹ 2,04,00,00,000.00",Series C,"$ 5,05,89,505.00",Axis Bank,HDFC Bank,Oxyzo,Samunnati,Northern Arc,17
Attero,Asset Management,Electronics,Noida,Uttar Pradesh,Attero is an integrated end to end electronics asset management company aiming at increasing value for all electronic inventories.,201301,$100M to $500M,2007,www.attero.in,1,Nitin Gupta,501-1000,4,Late Stage Venture,"Aug 28, 2014","$ 1,65,00,000.00",Series C,"$ 2,86,00,000.00",New Enterprise Associates,Kalaari Capital,Forum Synergies,Granite Hill Capital Partners,,4
Vakilsearch,Information Technology,Internet,Chennai,Tamil Nadu,"Vakilsearch operates an online professional services platform for lawyers, corporate bodies, and professionals in India.",600058,$10M to $50M,"Feb 1, 2010",vakilsearch.com/,1,Hrishikesh Datar,Nov-50,4,—,"Oct 28, 2021","$ 1,00,00,000.00",Venture - Series Unknown,"$ 1,09,69,000.00",Kalaari Capital,Sujeet Kumar,Microsoft Accelerator Bangalore,In.Corp Advisory,Navneet Chugh,6
Eko,Apps,Finance,Gurgaon,Haryana,"Eko India Financial Services provides a low cost infrastructure to enable instant, secure and convenient financial transactions.",—,$1M to $10M,2007,eko.in/,4,Abhinav Sinha,51-100,2,Early Stage Venture,"Feb 22, 2023","₹ 30,00,00,000.00",Series B,"$ 91,21,634.00","Creation Investments Capital Management, LLC",Promus Equity Partners,Exxora,,,3
Wingreens Farms,E-Commerce,Food and Beverage,Gurgaon,Haryana,Wingreens Farms sells a range of food products and is retailed in the market and online.,122001,Less than $1M,2010,www.wingreensfarms.com/,1,Anju Srivastava,51-100,8,—,"Jul 23, 2023","$ 1,00,00,000.00",Venture - Series Unknown,"$ 5,98,25,852.00",Investcorp,Sequoia Capital,Anicut Capital,Omidyar Network India,Peak XV Partners,5
ibibo Group,E-Commerce,Internet,Gurgaon,Haryana,"ibibo Group is an Indian online travel group that operates web properties, including an B2C online travel aggregator and more.",122002,$100M to $500M,2007,www.goibibo.com,1,Ashish Kashyap,501-1000,2,M&A,"Feb 29, 2020","₹ 10,70,00,000.00",Venture - Series Unknown,"$ 25,14,82,508.00",Tencent,MakeMyTrip.com,Prosus & Naspers,,,3
PayMate,B2B,Credit,Mumbai,Maharashtra,PayMate is an Indian B2B payments fintech for Enterprise and SME across supply chains.,400054,$10M to $50M,"May 12, 2006",paymate.in/,1,Ajay Adiseshann,101-250,5,Late Stage Venture,"Jul 22, 2019","$ 2,50,00,000.00",Series D,"$ 4,05,00,000.00",Visa,Kleiner Perkins,Mayfield Fund,Brand Capital,Lightbox,8
India1 ATM,Payments,Sales,Bangalore,Karnataka,India1 ATM operates a chain of ATM and point-of-sales (POS) terminals around the world.,560008,$100M to $500M,"Jun 30, 2006",india1atm.in/,1,K Srinivas,Nov-50,2,—,"Aug 22, 2019","₹ 1,50,00,00,000.00",Venture - Series Unknown,"$ 4,32,53,164.00",ICICI Venture,The Banktech Group,,,,2
Logicserve Digital,Advertising,Digital Media,Mumbai,Maharashtra,Logicserve is a new-age digital marketing company that offers the most comprehensive suite of digital marketing services.,400701,$100M to $500M,2006,www.lsdigital.com/,2,Prasad Shejale,251-500,4,—,"Oct 4, 2022","$ 30,00,00,000.00",Venture - Series Unknown,"$ 61,06,01,648.00",BlackSoil,Florintree Advisors,Bhupinder Singh,Mahesh Pratapneni,Karan Bhagat,7
NephroPlus,Health Care,Health Diagnostics,Hyderabad,Andhra Pradesh,"NephroPlus is a dialysis center network that provides dialysis, kidney stone treatment, AV Fistula surgery, and other treatments.",500034,$10M to $50M,2009,www.nephroplus.com,3,Kamal D Shah,501-1000,7,Late Stage Venture,"Dec 13, 2021","₹ 1,80,00,00,000.00",Series E,"$ 11,23,56,695.00",Investcorp,International Finance Corporation,Bessemer Venture Partners,New Enterprise Associates,360 ONE Asset,8
Printo,E-Commerce,Gift,Bangalore,Karnataka,"Printo offers customised visiting cards printing, brochures printing, business cards printing, personalized greeting cards.",560 068,$10M to $50M,2006,printo.in/,1,Manish Sharma,501-1000,6,Early Stage Venture,"Oct 10, 2021",—,Series A,"$ 1,48,66,898.00",Sequoia Capital,Info Edge,Gruhas,SeedFund.in,,4
Ozonetel Communications,Telecommunications,,Hyderabad,Andhra Pradesh,Ozonetel Systems is a pioneer and a leading provider of on-demand cloud communication services in India.,500082,$10M to $50M,2007,www.ozonetel.com/,3,Atul Sharma,251-500,2,Early Stage Venture,"Oct 6, 2021","₹ 37,00,00,000.00",Series A,"$ 49,84,664.00",Alchemist Accelerator,Stakeboat Capital,,,,2
Wishberry,Crowdfunding,Finance,Mumbai,Maharashtra,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,400057,$1M to $10M,2011,www.wishberry.in/,2,Anshulika Dubey,01-Oct,3,Early Stage Venture,"Jul 13, 2018","$ 14,00,000.00",Series A,"$ 20,52,688.00",3one4 Capital,Rajan Anandan,Alok Mittal,Sharad Sharma,Vaibhav Gupta,11
Kale Logistics Solutions,Information Technology,,Thane,Maharashtra,Kale Logistics Solutions is a cloud-based tech solutions provider focused on providing cutting-edge tech solutions to the logistics industry,400610,$10M to $50M,2010,kalelogistics.com,3,Amar More,101-250,3,Early Stage Venture,"Sep 11, 2023","$ 3,00,00,000.00",Series B,"$ 3,66,59,375.00",Creaegis,Inflexor Ventures,Narendra Kale,Vipul Jain,Manju Puri,6
Kushal's,E-Commerce,Fashion,Bangalore,Karnataka,"Kushal's is an e-store that supplies necklaces, earrings, bangles, bracelets, pendant sets and accessories.",560004,$10M to $50M,2006,www.kushals.com/,—,,251-500,2,Private Equity,"May 24, 2022","₹ 85,00,00,000.00",Private Equity,"₹ 85,00,00,000.00",Motilal Oswal Private Equity,India SME Investments,,,,2
InI Farms,Agriculture,Farming,Mumbai,Maharashtra,InI Farms is a horticulture company focused on growing pomegranates and bananas.,400072,$1M to $10M,2009,www.inifarms.com/,2,Pankaj Khandelwal,101-250,6,M&A,"Apr 12, 2023","₹ 16,00,00,000.00",Venture - Series Unknown,"$ 1,59,49,547.00",Aavishkaar Venture Capital,Unilazer Ventures,Ronnie Screwvala,Aavishkaar Capital,Samridhi Fund,5
Suryoday Small Finance Bank,Banking,Finance,Mumbai,Maharashtra,Suryoday Small Finance Bank is a registered Non-Banking Finance Company.,400614,$1B to $10B,2008,www.suryodaybank.com,1,Baskar Babu,5001-10000,8,IPO,"Mar 10, 2021","₹ 1,50,00,00,000.00",Private Equity,"$ 10,79,76,691.00",Aavishkaar Venture Capital,HDFC Standard Life Insurance,International Finance Corporation,DEG,KFW DEG,20
Investors Clinic Infratech Pvt Ltd,Commercial Real Estate,Real Estate,Noida,Uttar Pradesh,Investors Clinic is a real-estate consulting company that offers its services for corporate houses in both domestic and international arena.,210303,$10M to $50M,"Dec 7, 2006",investorsclinic.in/,1,Honey Katiyal,1001-5000,2,Private Equity,"Oct 1, 2015","$ 15,00,00,000.00",Private Equity,"$ 15,00,00,000.00",Brand Capital,,,,,1
