Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt,CID
Khyaal,Seed,"$4,200,000","Feb 6, 2024",315000000,3780000,CID67
FOIP,Funding Round,"₹230,000,000","Feb 23, 2024",230000000,2760000,CID68
Neodocs,Seed,"₹166,000,000","Feb 8, 2024",166000000,1992000,CID69
mirrAR,Seed,"₹130,000,000","Nov 6, 2023",130000000,1560000,CID70
Wildfloc Adventures,Seed,—,"Feb 22, 2024",0,0,CID71
Digantara,Series A,"₹155,400,000","Feb 27, 2024",155400000,1864800,CID72
Fasal,Series A,"₹1,000,000,000","Dec 22, 2023",1000000000,12000000,CID73
Zomato,Post-IPO Secondary,"₹33,360,000,000","Nov 28, 2023",33360000000,400320000,CID74
Myna Mahila Foundation,Grant,"$100,000","Jul 9, 2023",7500000,90000,CID75
Pratech Brands,Seed,"₹366,200,000","Feb 19, 2024",366200000,4394400,CID76
Grip Invest,Series B,"₹700,000,000","Jan 9, 2024",700000000,8400000,CID77
AmberStudent,Debt Financing,"$2,500,000","Feb 12, 2024",187500000,2250000,CID78
Stan,Seed,"₹220,000,000","Jan 23, 2024",220000000,2640000,CID79
Crux,Seed,"₹220,000,000","Feb 8, 2024",220000000,2640000,CID80
HyugaLife,Seed,"₹83,000,000","Jan 3, 2024",83000000,996000,CID81
Scandalous Foods,Pre-Seed,"₹14,000,000","Feb 14, 2024",14000000,168000,CID82
RailYatri,Debt Financing,"₹140,000,000","Feb 19, 2024",140000000,1680000,CID83
JSW Infrastructure,Funding Round,"₹12,600,000,000","Sep 22, 2023",12600000000,151200000,CID84
Krutrim,Series A,"$50,000,000","Jan 26, 2024",3750000000,45000000,CID85
Kushal's,Secondary Market,—,"Feb 28, 2024",0,0,CID86
Kushal's,Series B,"₹2,840,000,000","Feb 28, 2024",2840000000,34080000,CID87
BigHaat,Series C,"₹695,000,000","Feb 7, 2024",695000000,8340000,CID88
Settl.,Seed,"₹100,000,000","Jan 2, 2024",100000000,1200000,CID89
Toffee Coffee Roasters,Funding Round,"₹3,500,000","Feb 20, 2024",3500000,42000,CID90
Burger Singh,Series B,—,"Dec 14, 2023",0,0,CID91
Airblack,Series B,"₹330,000,000","Dec 7, 2023",330000000,3960000,CID92
Confidence Group,Post-IPO Equity,"₹2,500,000,000","Feb 19, 2024",2500000000,30000000,CID93
Mokobara,Series A,"₹290,000,000","Oct 19, 2023",290000000,3480000,CID94
SWIRL,Seed,"₹91,000,000","Feb 6, 2024",91000000,1092000,CID95
Dream Sports,Secondary Market,"$400,000,000","Mar 24, 2021",30000000000,360000000,CID96
VRO Hospitality,Venture - Series Unknown,"$10,000,000","Jan 2, 2024",750000000,9000000,CID97
DevX,Venture - Series Unknown,"₹580,000,000","Feb 5, 2024",580000000,6960000,CID98
Vegrow,Series C,"$46,000,000","Dec 13, 2023",3450000000,41400000,CID99
Auxilo,Venture - Series Unknown,"₹4,700,000,000","Jul 25, 2023",4700000000,56400000,CID100
Serentica Renewables,Debt Financing,"₹35,000,000,000","Jan 8, 2024",35000000000,420000000,CID101
Aye Finance,Series F,"₹3,100,000,000","Dec 13, 2023",3100000000,37200000,CID102
Tork Motors,Venture - Series Unknown,"₹500,000,000","Feb 13, 2024",500000000,6000000,CID103
Lohum,Series B,"$23,000,000","Feb 9, 2024",1725000000,20700000,CID104
SportVot,Seed,"₹94,000,000","Feb 5, 2024",94000000,1128000,CID105
Metafin,Series A,"₹420,000,000","Feb 7, 2024",420000000,5040000,CID106
Captain Fresh,Series C,"$20,000,000","Sep 5, 2023",1500000000,18000000,CID107
EquityList,Seed,"$2,200,000","Sep 18, 2023",165000000,1980000,CID108
BluSmart Mobility,Venture - Series Unknown,"₹2,080,000,000","Jan 29, 2024",2080000000,24960000,CID109
Glamplus,Seed,"₹165,000,000","Jan 9, 2024",165000000,1980000,CID110
Proost69,Seed,"₹250,000,000","Oct 25, 2023",250000000,3000000,CID111
Cello,Funding Round,"₹5,670,000,000","Oct 27, 2023",5670000000,68040000,CID112
SK Finance,Private Equity,"₹13,280,000,000","Jan 23, 2024",13280000000,159360000,CID113
Udaan,Series E,"$340,000,000","Dec 14, 2023",25500000000,306000000,CID114
Onsurity,Series B,"$24,000,000","Oct 9, 2023",1800000000,21600000,CID115
Exponent Energy,Series B,"$26,400,000","Dec 14, 2023",1980000000,23760000,CID116
QuID Cash,Pre-Seed,"₹50,000,000","Feb 19, 2024",50000000,600000,CID117
Stackr Labs,Seed,"₹458,000,000","Nov 8, 2023",458000000,5496000,CID118
ELIVAAS,Seed,"₹208,000,000","Nov 27, 2023",208000000,2496000,CID119
Scrut Automation,Series A,"₹750,000,000","Feb 14, 2024",750000000,9000000,CID120
Clinikally,Seed,"$2,600,000","Sep 29, 2023",195000000,2340000,CID121
InCred,Series D,"₹5,000,000,000","Nov 9, 2023",5000000000,60000000,CID122
kitchens@,Series C,"$65,000,000","Dec 22, 2023",4875000000,58500000,CID123
ANAROCK,Private Equity,"₹2,000,000,000","Feb 5, 2024",2000000000,24000000,CID124
Papa Pawsome,Seed,"₹33,500,000","Feb 5, 2024",33500000,402000,CID125
AstroTalk,Series A,"₹1,630,000,000","Feb 6, 2024",1630000000,19560000,CID126
ConveGenius,Series A,"₹580,000,000","Jan 11, 2024",580000000,6960000,CID127
Scandalous Foods,Pre-Seed,"₹16,000,000","Dec 4, 2023",16000000,192000,CID128
Ivory,Seed,"$500,000","Feb 8, 2024",37500000,450000,CID129
Wiz Freight,Series B,"₹933,000,000","Jan 4, 2024",933000000,11196000,CID130
MakeO,Series D,"₹1,350,000,000","Jan 9, 2024",1350000000,16200000,CID131
Finhaat,Seed,"₹250,000,000","Dec 20, 2023",250000000,3000000,CID132
DigitalPaani,Seed,"$1,200,000","Dec 7, 2023",90000000,1080000,CID133
Mufin Green Finance,Post-IPO Equity,"₹1,400,000,000","Feb 2, 2024",1400000000,16800000,CID134
Zepto,Series E,"$200,000,000","Aug 25, 2023",15000000000,180000000,CID135
Fixerra,Seed,"₹140,000,000","Jan 24, 2024",140000000,1680000,CID136
AmberStudent,Private Equity,"$18,500,000","Feb 12, 2024",1387500000,16650000,CID137
Offline,Seed,"$2,000,000","Sep 19, 2023",150000000,1800000,CID138
ONGC Videsh,Debt Financing,"₹34,000,000,000","Jan 18, 2024",34000000000,408000000,CID139
EMotorad,Series B,"₹1,440,000,000","Nov 26, 2023",1440000000,17280000,CID140
Perfios Software Solutions,Series D,"$229,000,000","Sep 11, 2023",17175000000,206100000,CID141
INDRA,Series A,"$4,000,000","Jan 18, 2024",300000000,3600000,CID142
UrjanovaC,Pre-Seed,—,"Feb 22, 2024",0,0,CID143
Conscious Chemist,Debt Financing,"₹10,000,000","Feb 13, 2024",10000000,120000,CID144
Wow! Momo,Series D,"₹4,100,000,000","Jan 16, 2024",4100000000,49200000,CID145
BluSmart Mobility,Series A,"₹2,000,000,000","Dec 21, 2023",2000000000,24000000,CID146
Rite Water Solutions,Series B,"₹325,000,000","Feb 10, 2024",325000000,3900000,CID147
Torus Robotics,Seed,"$470,000","Feb 7, 2024",35250000,423000,CID148
Salty,Seed,"₹54,000,000","Jan 11, 2024",54000000,648000,CID149
P-TAL,Seed,"₹43,300,000","Oct 16, 2023",43300000,519600,CID150
Accio Robotics,Seed,"₹150,000,000","Jan 9, 2024",150000000,1800000,CID151
Aquaconnect,Series B,"₹330,000,000","Jan 31, 2024",330000000,3960000,CID152
IDC KITCHEN,Debt Financing,"₹15,000,000","Feb 15, 2024",15000000,180000,CID153
Dressfolk,Seed,"₹33,000,000","Oct 5, 2023",33000000,396000,CID154
HouseEazy,Seed,"₹80,000,000","Dec 19, 2023",80000000,960000,CID155
Crepdog Crew,Seed,—,"Jan 11, 2023",0,0,CID156
Blue Jet Healthcare,Private Equity,"₹2,520,000,000","Oct 23, 2023",2520000000,30240000,CID157
AgroMorph,Seed,—,"Feb 22, 2024",0,0,CID158
CENTA,Venture - Series Unknown,"₹83,000,000","Nov 16, 2023",83000000,996000,CID159
Susstains,Seed,—,"Feb 22, 2024",0,0,CID160
FinAGG,Series A,"₹914,000,000","Jan 18, 2024",914000000,10968000,CID161
Happi Planet,Seed,"₹84,700,000","Feb 13, 2024",84700000,1016400,CID162
Zaggle,Funding Round,"₹2,535,200,000","Sep 13, 2023",2535200000,30422400,CID163
BuyEazzy,Series A,"$4,250,000","Jan 18, 2024",318750000,3825000,CID164
Baaz Bikes,Series A,"$8,000,000","Nov 21, 2023",600000000,7200000,CID165
EloElo,Series B,"$22,000,000","Sep 20, 2023",1650000000,19800000,CID166
JEH Aerospace,Seed,"₹210,000,000","Jan 18, 2024",210000000,2520000,CID167
Scapia,Series A,"₹1,900,000,000","Nov 21, 2023",1900000000,22800000,CID168
Raptee Energy,Seed,"$3,000,000","Sep 26, 2023",225000000,2700000,CID169
Breathe ESG,Pre-Seed,"₹26,100,000","Jun 24, 2023",26100000,313200,CID170
InsuranceDekho,Series B,"$60,000,000","Oct 10, 2023",4500000000,54000000,CID171
FlexifyMe,Seed,"₹100,000,000","Jan 10, 2024",100000000,1200000,CID172
VoiceClub,Seed,"$700,000","Dec 6, 2023",52500000,630000,CID173
Redrob,Seed,"$4,000,000","Dec 19, 2023",300000000,3600000,CID174
Weisdom FutureTech,Non-equity Assistance,—,"Sep 5, 2023",0,0,CID175
SquadStack,Non-equity Assistance,—,"Sep 5, 2023",0,0,CID176
Perfora,Grant,"$100,000","Feb 15, 2024",7500000,90000,CID177
Farmley,Series B,"₹560,000,000","Dec 17, 2023",560000000,6720000,CID178
GeoIQ.io,Non-equity Assistance,—,"Sep 5, 2023",0,0,CID179
Iluvia,Series A,—,"Feb 15, 2024",0,0,CID180
ConveGenius,Series A,"₹150,000,000","Feb 9, 2024",150000000,1800000,CID181
Agnikul,Series B,"₹2,000,000,000","Oct 17, 2023",2000000000,24000000,CID182
PlasmaGen Biosciences,Venture - Series Unknown,"₹2,250,000,000","Dec 14, 2023",2250000000,27000000,CID183
Aliste Technologies,Seed,"₹83,000,000","Dec 12, 2023",83000000,996000,CID184
ESCROWPAY,Series A,"$6,600,000","Dec 27, 2023",495000000,5940000,CID185
Yatra,Post-IPO Equity,"₹3,487,500,000","Sep 14, 2023",3487500000,41850000,CID186
Bharat Housing Network,Series A,"₹1,250,000,000","Nov 9, 2023",1250000000,15000000,CID187
Terra Food Co.,Seed,"$800,000","Jul 28, 2023",60000000,720000,CID188
Kiwi,Series A,"₹1,080,000,000","Nov 21, 2023",1080000000,12960000,CID189
Gabit,Seed,"$9,500,000","Jan 1, 2023",712500000,8550000,CID190
Blue Star,Post-IPO Equity,"₹10,000,000,000","Sep 29, 2023",10000000000,120000000,CID191
Nazara Technologies,Post-IPO Equity,"₹2,500,000,000","Jan 17, 2024",2500000000,30000000,CID192
Medial,Pre-Seed,"$120,000","Jan 17, 2024",9000000,108000,CID193
InPrime Finserv,Series A,"$3,000,000","Jan 16, 2024",225000000,2700000,CID194
Pilgrim,Series B,"$13,000,000","Sep 26, 2023",975000000,11700000,CID195
Setu Nutrition,Funding Round,—,"Oct 25, 2023",0,0,CID196
Flash.co,Seed,"₹550,000,000","Sep 18, 2023",550000000,6600000,CID197
Showroom B2B,Seed,"$6,500,000","Oct 19, 2023",487500000,5850000,CID198
KisanKonnect,Seed,"₹310,000,000","Jan 15, 2024",310000000,3720000,CID199
Ascend Capital,Series A,"₹500,000,000","Feb 13, 2024",500000000,6000000,CID200
NeuroPixel.AI,Non-equity Assistance,—,"Sep 5, 2023",0,0,CID201
Keus,Private Equity,"₹1,000,000,000","Feb 5, 2024",1000000000,12000000,CID202
Vaaree,Seed,"$4,000,000","Nov 7, 2023",300000000,3600000,CID203
Zolve,Debt Financing,"$100,000,000","Oct 11, 2023",7500000000,90000000,CID204
Reliance Jio,Private Equity,"$4,618,000,000","May 8, 2020",3.4635E+11,4156200000,CID205
Wishlink,Series A,"$7,000,000","Feb 5, 2024",525000000,6300000,CID206
Sugar.fit,Series A,"₹910,000,000","Oct 31, 2023",910000000,10920000,CID207
SAMHI Hotels,Funding Round,"₹6,165,400,000","Sep 13, 2023",6165400000,73984800,CID208
Sarvam AI,Series A,"₹3,420,000,000","Dec 7, 2023",3420000000,41040000,CID209
Blackopal Group,Debt Financing,"₹250,000,000","Jan 30, 2024",250000000,3000000,CID210
Knocksense,Seed,"$1,000,000","Apr 19, 2023",75000000,900000,CID211
boAt,Funding Round,—,"Feb 1, 2024",0,0,CID212
Grow Indigo,Venture - Series Unknown,"₹670,000,000","Jan 27, 2024",670000000,8040000,CID213
DevDham,Seed,"₹60,000,000","Jan 3, 2024",60000000,720000,CID214
BluSmart Mobility,Debt Financing,"£200,000,000","Jan 29, 2024",0,0,CID215
Religare,Post-IPO Equity,"₹3,088,000,000","Jan 24, 2024",3088000000,37056000,CID216
ZappFresh,Venture - Series Unknown,"₹300,000,000","Nov 23, 2023",300000000,3600000,CID217
Fairdeal Market,Seed,"$2,000,000","Sep 29, 2023",150000000,1800000,CID218
Inoxwind,Secondary Market,"₹8,000,000,000","Oct 31, 2023",8000000000,96000000,CID219
Newme,Seed,"₹450,000,000","Jan 25, 2024",450000000,5400000,CID220
FlexiLoans,Debt Financing,"₹600,000,000","Feb 16, 2024",600000000,7200000,CID221
SuperOps.ai,Series B,"₹1,030,000,000","Oct 10, 2023",1030000000,12360000,CID222
Pep,Seed,"$2,500,000","Oct 9, 2023",187500000,2250000,CID223
PolicyBazaar,Post-IPO Secondary,"₹8,710,000,000","Oct 6, 2023",8710000000,104520000,CID224
Optimizers,Seed,—,"Jan 30, 2024",0,0,CID225
Alt Carbon,Pre-Seed,"$550,000","Dec 20, 2023",41250000,495000,CID226
AquaExchange,Series A,"$6,000,000","Jan 19, 2024",450000000,5400000,CID227
Garuda Aerospace,Series A,"₹250,000,000","Oct 25, 2023",250000000,3000000,CID228
AltUni,Angel,"₹41,500,000","Sep 25, 2023",41500000,498000,CID229
Zingavita,Seed,"₹100,000,000","Jan 16, 2024",100000000,1200000,CID230
Bharatsure,Seed,"₹83,000,000","Jan 18, 2024",83000000,996000,CID231
Frendy,Venture - Series Unknown,"₹160,000,000","Nov 27, 2023",160000000,1920000,CID232
BatX Energies,Seed,"$5,000,000","Dec 19, 2023",375000000,4500000,CID233
RateGain,Post-IPO Equity,"₹6,000,000,000","Nov 20, 2023",6000000000,72000000,CID234
Jiraaf,Series B,"$8,700,000","Oct 12, 2023",652500000,7830000,CID235
PierSight Space,Seed,"$5,324,999","Jan 9, 2024",399374925,4792499.1,CID236
Sai Silks (Kalamandir),Funding Round,"₹3,600,000,000","Sep 18, 2023",3600000000,43200000,CID237
Karkhana.io,Series A,"$6,300,000","Jan 9, 2024",472500000,5670000,CID238
MyMuse India,Seed,"₹224,000,000","Jan 9, 2024",224000000,2688000,CID239
Koparo Clean,Seed,"₹59,000,000","Feb 7, 2024",59000000,708000,CID240
Pratech Brands,Debt Financing,"₹155,000,000","Feb 19, 2024",155000000,1860000,CID241
Fittr,Venture - Series Unknown,"₹280,000,000","Jan 8, 2024",280000000,3360000,CID242
Euler Motors,Series C,"₹1,200,000,000","Nov 6, 2023",1200000000,14400000,CID243
Cashinvoice,Series A,"₹282,000,000","Feb 7, 2024",282000000,3384000,CID244
EtherealX,Seed,—,"Feb 5, 2024",0,0,CID245
ofScale,Pre-Seed,"₹31,000,000","Dec 13, 2023",31000000,372000,CID246
Disprz,Series C,"$30,000,000","Aug 7, 2023",2250000000,27000000,CID247
Suzhiyam Industrial Machines,Grant,"$25,000","Feb 20, 2024",1875000,22500,CID248
VAMA,Seed,"₹125,000,000","Nov 21, 2023",125000000,1500000,CID249
General Autonomy,Seed,"$3,000,000","Nov 13, 2023",225000000,2700000,CID250
CureBay,Series A,"₹618,000,000","Jan 5, 2024",618000000,7416000,CID251
ClearTrust,Seed,"₹157,000,000","Jan 29, 2024",157000000,1884000,CID252
Cashvisory,Pre-Seed,"₹12,000,000","Dec 29, 2023",12000000,144000,CID253
Electrifi Mobility,Seed,"₹250,000,000","Jan 30, 2024",250000000,3000000,CID254
ClearTrust,Seed,"$200,000","Jan 1, 2021",15000000,180000,CID255
Third Wave Coffee,Series C,"$35,000,000","Sep 28, 2023",2625000000,31500000,CID256
INC5,Series A,"₹830,000,000","Oct 25, 2023",830000000,9960000,CID257
Ecofy,Debt Financing,"₹900,000,000","Jan 24, 2024",900000000,10800000,CID258
Biryani By Kilo,Series C,"₹720,000,000","Dec 4, 2023",720000000,8640000,CID259
Natch,Seed,"₹30,000,000","Nov 9, 2023",30000000,360000,CID260
Kuku FM,Series C,"$25,000,000","Sep 20, 2023",1875000000,22500000,CID261
OnFinance AI,Seed,"$1,050,000","Nov 7, 2023",78750000,945000,CID262
Phi Commerce Pvt Ltd,Series A,"₹830,000,000","Nov 28, 2023",830000000,9960000,CID263
Namdev Finvest,Series B,"₹1,240,000,000","Jan 22, 2024",1240000000,14880000,CID264
Mirana Toys,Grant,"$100,000","Feb 15, 2024",7500000,90000,CID265
FreshBus,Seed,"₹75,000,000","Oct 31, 2023",75000000,900000,CID266
GlobalBees,Debt Financing,"₹1,500,000,000","Feb 6, 2024",1500000000,18000000,CID267
Upswing Financial Technologies,Seed,"$4,200,000","Jan 17, 2024",315000000,3780000,CID268
Noise,Series A,"₹829,000,000","Dec 18, 2023",829000000,9948000,CID269
OxyZEN Express,Seed,"₹250,000,000","Dec 22, 2023",250000000,3000000,CID270
FinAGG,Debt Financing,—,"Jan 18, 2024",0,0,CID271
Clove Dental,Series E,"₹4,170,000,000","Nov 23, 2023",4170000000,50040000,CID272
Innovist,Series A,"$7,000,000","Nov 28, 2023",525000000,6300000,CID273
Zepto,Series E,"$31,250,000","Nov 8, 2023",2343750000,28125000,CID274
Monitra Healthcare,Seed,"$500,000","Jun 5, 2023",37500000,450000,CID275
Bharatsure,Seed,"$1,200,000","Feb 1, 2022",90000000,1080000,CID276
Vgenomics,Seed,—,"Jan 16, 2024",0,0,CID277
Updater Services,Funding Round,"₹2,880,000,000","Sep 22, 2023",2880000000,34560000,CID278
Yu Foodlabs,Series A,"₹200,000,000","Feb 12, 2024",200000000,2400000,CID279
Ola Electric,Debt Financing,"$240,000,000","Oct 26, 2023",18000000000,216000000,CID280
The baker’s dozen,Seed,"₹330,000,000","Jan 11, 2024",330000000,3960000,CID281
Evify,Seed,"$1,300,000","Jan 10, 2024",97500000,1170000,CID282
Axis Bank,Post-IPO Secondary,"₹37,000,000,000","Dec 13, 2023",37000000000,444000000,CID283
Purple Style Labs,Series D,"₹666,000,000","Nov 20, 2023",666000000,7992000,CID284
Riskcovry,Venture - Series Unknown,"₹373,000,000","Jan 8, 2024",373000000,4476000,CID285
Mylapay,Seed,"₹46,000,000","Jan 10, 2024",46000000,552000,CID286
Tap Invest,Seed,"$2,000,000","Oct 18, 2023",150000000,1800000,CID287
Nazara Technologies,Post-IPO Equity,"₹5,100,000,000","Aug 30, 2023",5100000000,61200000,CID288
Madsto,Seed,—,"Oct 19, 2023",0,0,CID289
Bakingo,Private Equity,"$16,000,000","Nov 10, 2023",1200000000,14400000,CID290
Piscium Health Sciences,Series A,"₹60,000,000","Feb 7, 2024",60000000,720000,CID291
SatSure,Series A,"$15,000,000","Aug 29, 2023",1125000000,13500000,CID292
HyugaLife,Debt Financing,—,"Jan 3, 2024",0,0,CID293
Nephrocare India,Venture - Series Unknown,"₹80,800,000","Dec 29, 2023",80800000,969600,CID294
Mom's Home,Seed,"₹50,000,000","Jan 29, 2024",50000000,600000,CID295
Motisons Group,Funding Round,"₹330,000,000","Oct 23, 2023",330000000,3960000,CID296
GoMechanic,Series C,"₹500,000,000","Nov 8, 2023",500000000,6000000,CID297
Plus,Seed,"₹29,000,000","Aug 17, 2023",29000000,348000,CID298
FroGo,Seed,"$1,150,000","Nov 2, 2023",86250000,1035000,CID299
Autocracy Machinery,Seed,"$1,200,000","Sep 25, 2023",90000000,1080000,CID300
SecurWeave Research Labs,Seed,"₹28,000,000","Nov 8, 2023",28000000,336000,CID301
Rupyz,Seed,"$1,200,000","Feb 5, 2024",90000000,1080000,CID302
BharatAgri,Series A,"₹350,000,000","Oct 19, 2023",350000000,4200000,CID303
Explurger,Series A,"₹373,000,000","Feb 14, 2024",373000000,4476000,CID304
Hempstreet Medicare,Seed,"₹83,000,000","Nov 28, 2023",83000000,996000,CID305
Growcoms,Series A,"$3,500,000","Nov 2, 2023",262500000,3150000,CID306
Adventum Student Living,Venture - Series Unknown,"₹249,000,000","Feb 6, 2024",249000000,2988000,CID307
Zyla Health,Series A,"$4,000,000","Nov 30, 2023",300000000,3600000,CID308
Snap-E Cabs,Seed,"₹207,000,000","Feb 5, 2024",207000000,2484000,CID309
Credgenics,Series B,"₹4,140,000,000","Aug 9, 2023",4140000000,49680000,CID310
Manipal Hospitals,Secondary Market,—,"Feb 2, 2024",0,0,CID311
Showroom B2B,Seed,"₹110,000,000","Jan 11, 2023",110000000,1320000,CID312
DB Realty,Post-IPO Equity,"₹15,440,000,000","Sep 17, 2023",15440000000,185280000,CID313
Fruitoholic,Seed,"₹240,000,000","Feb 17, 2024",240000000,2880000,CID314
hypergro,Seed,"₹70,000,000","Aug 21, 2023",70000000,840000,CID315
Algorithmic Biologics,Seed,"₹207,000,000","Feb 3, 2024",207000000,2484000,CID316
Eco Hotels and Resorts,Post-IPO Equity,"₹40,000,000","Dec 21, 2023",40000000,480000,CID317
Electrifi Mobility,Debt Financing,—,"Jan 30, 2024",0,0,CID318
Omnivio,Seed,"$1,020,000","Oct 17, 2023",76500000,918000,CID319
U Gro Capital,Post-IPO Debt,"₹2,500,000,000","Jan 31, 2024",2500000000,30000000,CID320
Adani Green Energy,Post-IPO Debt,"$750,000,000","Jan 29, 2024",56250000000,675000000,CID321
Legistify,Series A,"$4,000,000","Sep 25, 2023",300000000,3600000,CID322
Biva,Seed,"$500,000","Oct 16, 2023",37500000,450000,CID323
Reliance Jio,Private Equity,"₹371,318,000,000","Jun 13, 2020",3.71318E+11,4455816000,CID324
The Estée Lauder Companies Inc.,Post-IPO Debt,"$650,000,000","Feb 12, 2024",48750000000,585000000,CID325
Arzooo.com,Series B,—,"Jan 29, 2024",0,0,CID326
