Company,Funding Round,Amount,Date,RupeesAmount
GangaGen,Seed,"$1,800,000","Oct 9, 2008",135000000
Vivifi India,Series A,"$3,760,000","Mar 30, 2019",282000000
SafetyKart Retail,Venture - Series Unknown,"$1,000,000","Apr 12, 2017",75000000
Pure EV,Venture - Series Unknown,"$35,000,000","Jul 10, 2019",2625000000
Ola Electric,Series B,"$1,000,000","Mar 12, 2020",75000000
Falcon,Seed,"$2,000,000","Oct 14, 2021",150000000
Ruby's Coffee,Pre-Seed,—,"Sep 28, 2021",0
Rocketium,Seed,—,"Jun 29, 2021",0
Yumlane,Seed,"$1,000,000","Aug 2, 2016",75000000
Pura Organic Agro Tech,Private Equity,"$2,500,000","Aug 6, 2021",187500000
CoHo.in,Venture - Series Unknown,—,"Jan 1, 2019",0
IIFL Finance,Post-IPO Equity,—,"Jan 1, 2010",0
Innov8 Coworking,Angel,—,"Feb 15, 2017",0
Showroom B2B,Angel,"$180,000","Jan 1, 2021",13500000
Storyteller,Pre-Seed,"$100,000","Mar 18, 2019",7500000
Little Black Book,Seed,"$150,000","Jun 2, 2015",11250000
Mister Veg,Seed,"$570,000","Apr 13, 2021",42750000
ConveGenius,Seed,"$5,000,000","Oct 19, 2021",375000000
Mahindra Rise,Post-IPO Equity,—,"Jan 1, 2014",0
Tenxer Technologies,Seed,—,"Jan 1, 2019",0
Asian Institute of Medical Sciences,Venture - Series Unknown,"$21,000,000","Feb 6, 2018",1575000000
Chingari,Seed,—,"Nov 4, 2020",0
Reliance Jio,Venture - Series Unknown,"₹7,300,000,000","Jul 12, 2020",7300000000
Fittr,Series A,"$11,500,000","Sep 23, 2021",862500000
Sheru,Seed,—,"Jan 1, 2021",0
Ola,Seed,—,"Jan 13, 2012",0
Veritas Finance,Debt Financing,"₹550,000,000","Apr 6, 2018",550000000
Tata Value Homes,Venture - Series Unknown,"$25,000,000","May 30, 2016",1875000000
Kodo,Seed,"₹635,000,000","May 27, 2021",635000000
Zoomcar,Series C,"$40,000,000","Feb 16, 2018",3000000000
RBL Bank,Venture - Series Unknown,"$54,370,000","Aug 18, 2016",4077750000
Nat Habit,Pre-Seed,—,"Apr 23, 2020",0
Maya Labs,Seed,—,"Dec 3, 2020",0
Open Secret,Seed,—,"Jun 4, 2019",0
Vyome Therapeutics,Series D,"$22,000,000","Jan 3, 2019",1650000000
Wheebox,Series A,"$5,000,000","Feb 3, 2017",375000000
Enzen Global Solutions,Private Equity,"₹6,850,000,000","Jul 10, 2019",6850000000
Nestroots,Debt Financing,—,"Jul 2, 2021",0
E2E Networks,Seed,—,"Mar 11, 2010",0
Khatabook,Series C,"₹7,430,000,000","Aug 24, 2021",7430000000
Ecom Express,Private Equity,"$250,000,000","Dec 16, 2020",18750000000
Heads Up For Tails,Seed,"$1,000,000","Feb 5, 2016",75000000
Kashware,Pre-Seed,—,"Jan 1, 2021",0
F45 Training,Seed,—,"Jan 1, 2021",0
Hirehike,Pre-Seed,"$1,000,000","Dec 20, 2020",75000000
Orange Health Labs,Series A,"$10,000,000","Sep 4, 2021",750000000
Marksman Technologies,Seed,—,"Mar 10, 2010",0
Fairchem Specialty,Post-IPO Equity,"₹1,314,100,000","Jan 1, 2016",1314100000
Welspun India,Post-IPO Equity,"₹1,625,000,000","Nov 1, 2021",1625000000
Azure Hospitality,Venture - Series Unknown,"₹650,000,000","Jan 24, 2018",650000000
SeQuent Scientific,Post-IPO Equity,"₹1,300,000,000","Jun 29, 2020",1300000000
Toddle,Seed,—,"Apr 18, 2021",0
Powerplay,Seed,—,"Dec 1, 2020",0
SquadStack,Seed,—,"May 10, 2015",0
Rein Games,Seed,—,"Dec 19, 2018",0
Stamurai,Seed,—,"Jun 28, 2021",0
XFlow,Seed,—,"Jul 1, 2021",0
RapidBox,Seed,—,"Mar 3, 2020",0
Shadowfax,Seed,—,"Jun 14, 2015",0
Wobot Intelligence,Seed,—,"Apr 19, 2019",0
The Bread Company,Seed,—,"Mar 8, 2019",0
Workduck,Seed,—,"Jun 18, 2021",0
Veritas Finance,Series C,"₹600,000,000","Oct 1, 2018",600000000
Trinkerr,Pre-Seed,—,"Mar 10, 2021",0
Saarthi.ai,Non-equity Assistance,—,"Aug 20, 2019",0
Infinity Assurance Solutions,Pre-Seed,—,"Mar 16, 2013",0
RetailWorks,Seed,—,"Aug 20, 2015",0
E2E Networks,Pre-Seed,—,"Mar 20, 2020",0
GoCoop,Pre-Seed,—,"Mar 3, 2014",0
Adani Electricity,Private Equity,—,"Jan 1, 2020",0
Hireavilla,Venture - Series Unknown,—,"Jan 1, 2019",0
Cleardekho,Seed,"₹300,000,000","Oct 20, 2021",300000000
Indus Towers,Private Equity,—,"Jan 1, 2017",0
Flurn,Seed,—,"Jan 1, 2021",0
WHIDE,Seed,"$250,000","Nov 1, 2021",18750000
KhetiPoint,Pre-Seed,"$250,000","Nov 1, 2021",18750000
myLearn,Pre-Seed,"$250,000","Nov 1, 2021",18750000
CredR,Seed,—,"Jun 30, 2015",0
SanKash,Seed,"$250,000","Sep 1, 2021",18750000
NIFLR,Series A,"$250,000","Jul 12, 2021",18750000
One Young India,Pre-Seed,"$250,000","Oct 1, 2021",18750000
Webi7 Digital Media,Pre-Seed,"$250,000","Oct 4, 2021",18750000
DealShare,Series A,—,"Sep 28, 2019",0
Verimployee,Pre-Seed,"$250,000","Nov 1, 2021",18750000
Mool,Pre-Seed,"$250,000","Sep 30, 2021",18750000
YourPhysio,Seed,—,"Dec 30, 2020",0
Hike,Series D,—,"Aug 3, 2021",0
indiagold,Seed,—,"Apr 14, 2020",0
GIVA,Seed,—,"Dec 24, 2019",0
Lalo Retail Ventures,Pre-Seed,"$250,000","Oct 8, 2021",18750000
Fruitoholic,Pre-Seed,"₹80,000,000","Apr 1, 2021",80000000
Travel Buddy,Pre-Seed,"$250,000","Feb 22, 2021",18750000
Circle of Life Healthcare,Seed,"$250,000","Jul 23, 2021",18750000
Hitwicket,Angel,"$300,000","Nov 12, 2015",22500000
Otipy,Seed,"$1,000,000","Aug 24, 2020",75000000
NUOS,Pre-Seed,"$250,000","Apr 30, 2021",18750000
Epocare,Pre-Seed,"$250,000","Sep 1, 2021",18750000
PYT,Pre-Seed,"$250,000","Oct 30, 2021",18750000
Gemini Equipment And Rentals,Private Equity,—,"Jun 14, 2018",0
Raksha Health,Seed,—,"Jul 1, 2019",0
200 Million Artisans,Pre-Seed,—,"Oct 20, 2020",0
Urban Matrix,Seed,—,"Jan 1, 2019",0
Avendus Future Leaders,Private Equity,—,"Jan 1, 2016",0
Omnivio,Seed,—,"Jan 1, 2021",0
Arka Aerospace,Venture - Series Unknown,—,"Jan 1, 2019",0
BetterPlace,Series C,"$24,000,000","Sep 13, 2021",1800000000
AssetPlus,Seed,—,"Jan 1, 2016",0
Entitled Solutions,Seed,—,"Jan 1, 2019",0
UrbanKisaan,Seed,"$1,500,000","Mar 16, 2020",112500000
Vahan,Seed,—,"Oct 7, 2019",0
Polygenta Technologies,Post-IPO Debt,"₹150,000,000","Jul 21, 2014",150000000
Polygenta Technologies,Post-IPO Equity,"₹70,000,000","Jul 21, 2014",70000000
Wizely,Seed,"$1,500,000","Dec 30, 2017",112500000
Leaf Fintech,Seed,—,"Jan 1, 2017",0
LikeMinds,Seed,—,"Jan 1, 2020",0
Eunimart,Seed,"$700,000","Apr 2, 2021",52500000
Vahan,Series A,"$8,000,000","Sep 15, 2021",600000000
Kheyti,Venture - Series Unknown,—,"Aug 24, 2020",0
Hike,Venture - Series Unknown,"$14,000,000","Mar 31, 2014",1050000000
Statiq,Seed,"$2,300,000","Nov 7, 2020",172500000
Coforge,Post-IPO Equity,"$381,000,000","Apr 6, 2019",28575000000
Furlenco,Series C,—,"Sep 17, 2018",0
Rocketium,Seed,"$700,000","May 27, 2019",52500000
Mugafi,Pre-Seed,"$50,000","Aug 8, 2020",3750000
Dealmoney,Venture - Series Unknown,—,"Jan 1, 2009",0
Origo Commodities,Venture - Series Unknown,"$11,000,000","Oct 1, 2018",825000000
Koo App,Seed,—,"Mar 1, 2020",0
Sattviko,Seed,"₹20,000,000","Feb 25, 2015",20000000
LogiPe,Pre-Seed,—,"Jan 1, 2021",0
Airtribe,Pre-Seed,—,"May 1, 2021",0
Larkai Healthcare,Seed,—,"Jan 1, 2021",0
Pura Organic Agro Tech,Grant,"$225,250","Aug 6, 2021",16893750
Akudo,Seed,"₹310,000,000","Sep 27, 2021",310000000
Alpha5,Seed,—,"Apr 1, 2020",0
Roots Ventures,Seed,—,"Dec 10, 2019",0
MyHealthcare,Series A,—,"Nov 6, 2019",0
Oceanaire Yachting,Seed,—,"Apr 22, 2019",0
Goodmeetings,Seed,"₹120,000,000","Aug 6, 2021",120000000
Red Otter Farms,Seed,—,"Apr 5, 2019",0
N+1 Capital,Venture - Series Unknown,—,"May 21, 2021",0
Teamonk,Series A,—,"Jul 14, 2017",0
DB Pilot,Seed,"$500,000","Apr 19, 2021",37500000
Dolomite Restaurants,Venture - Series Unknown,—,"Jan 1, 2018",0
GlobalBees,Series A,"$75,000,000","Jul 18, 2021",5625000000
True Elements,Series A,"$1,400,000","Jan 12, 2021",105000000
Jar,Seed,"$4,500,000","Aug 31, 2021",337500000
VVFit Solutions,Pre-Seed,"$37,573","Feb 3, 2020",2817975
Spandana Sphoorty Financial Limited,Private Equity,"$100,000,000","Apr 5, 2017",7500000000
New Street Technologies,Seed,—,"Mar 3, 2019",0
DRIVEU,Seed,"$4,000,000","Nov 1, 2015",300000000
Blowhorn,Funding Round,—,"Dec 1, 2015",0
Gigforce,Funding Round,—,"Jul 1, 2020",0
Gigforce,Funding Round,—,"Sep 28, 2021",0
New Street Technologies,Series A,"$2,000,000","Mar 27, 2021",150000000
XFlow,Seed,"$6,000,000","Oct 1, 2021",450000000
Cuemath,Seed,"$162,000","Dec 1, 2014",12150000
Eduvanz,Funding Round,"$1,000,000","Jan 6, 2021",75000000
Game Theory,Seed,"$350,000","Nov 1, 2020",26250000
Varthana,Series B,"₹930,000,000","Apr 13, 2016",930000000
Aura Semiconductor,Series A,—,"Oct 25, 2016",0
Pura Organic Agro Tech,Debt Financing,—,"Jul 7, 2021",0
Zypp Electric,Seed,"$2,000,000","Nov 14, 2019",150000000
Razorpay,Venture - Series Unknown,—,"Sep 20, 2021",0
FirstCry,Series E,"$149,360,000","Jan 22, 2019",11202000000
Swarna Pragati Housing Microfinance,Series B,—,"Dec 22, 2015",0
Awign,Series A,"$2,800,000","Sep 1, 2018",210000000
Shoptimize India,Venture - Series Unknown,"$3,223,072","Apr 3, 2020",241730400
BYJU'S,Series F,"$460,000,000","Mar 29, 2021",34500000000
Carbon Continuum,Non-equity Assistance,—,"Jan 1, 2015",0
Awign,Series A,"$3,800,000","Aug 20, 2021",285000000
WorldHaus,Seed,—,"Nov 1, 2012",0
AddressHealth,Series A,"$1,500,000","May 25, 2016",112500000
Junio,Seed,—,"Apr 5, 2021",0
Suryadesh Energy,Venture - Series Unknown,—,"Jan 1, 2019",0
AASAN Consultancy,Private Equity,"₹195,000,000","Oct 19, 2021",195000000
Urban Company,Seed,"$1,600,000","Apr 16, 2015",120000000
InMobi,Venture - Series Unknown,"$5,000,000","Dec 2, 2014",375000000
White Cub,Seed,—,"Jan 1, 2014",0
Khatabook,Series B,"$60,000,000","May 20, 2020",4500000000
Indjets Private Limited (India),Series A,"$1,000,000","Sep 2, 2016",75000000
Aqgromalin,Seed,"₹55,000,000","Jul 15, 2021",55000000
GramVaani,Seed,"$500,000","Jul 10, 2013",37500000
Nira,Seed,"$1,000,000","Oct 29, 2018",75000000
Flam,Seed,"$3,588,757","Jul 1, 2021",269156775
AmpIn Energy Transition (Formerly Amp Energy India),Venture - Series Unknown,"$50,000,000","Oct 17, 2019",3750000000
AmpIn Energy Transition (Formerly Amp Energy India),Funding Round,"$35,000,000","Jun 9, 2017",2625000000
AmpIn Energy Transition (Formerly Amp Energy India),Funding Round,"$25,000,000","Jun 7, 2016",1875000000
Stelis Biopharma,Series B,"$70,000,000","Mar 19, 2021",5250000000
Heads Up For Tails,Series A,"₹2,770,000,000","Aug 12, 2021",2770000000
Lohum,Venture - Series Unknown,"$7,000,000","Jan 18, 2021",525000000
Smartworks,Series A,"$25,000,000","Oct 31, 2019",1875000000
OneAssist,Venture - Series Unknown,"$3,500,000","Jun 26, 2012",262500000
MakeMyTrip.com,Series B,"$13,000,000","Dec 14, 2006",975000000
Virescent Renewable Energy Trust,Private Equity,"₹4,600,000,000","Sep 28, 2021",4600000000
Crediwatch,Series A,"$3,200,000","Oct 22, 2019",240000000
Heavy Hands Entertainment Pvt Ltd,Grant,—,"Aug 25, 2021",0
Adappt Intelligence,Non-equity Assistance,—,"Jan 1, 2016",0
Remedico,Seed,"$500,000","Oct 1, 2020",37500000
Fashion & You,Venture - Series Unknown,"$8,000,000","Dec 9, 2010",600000000
56,Seed,"$2,300,000","Mar 5, 2021",172500000
Donna FMCG,Seed,"$200,000","Apr 14, 2020",15000000
NearPe,Seed,—,"Apr 1, 2020",0
PriceBaba,Funding Round,—,"Aug 1, 2013",0
Absolute Global Outsourcing Private Limited,Pre-Seed,"₹500,000","Dec 15, 2019",500000
WEICL Investments,Private Equity,—,"Mar 28, 2017",0
WEICL Investments,Private Equity,—,"Mar 14, 2016",0
Dukaan®,Seed,"$6,000,000","Oct 19, 2020",450000000
Redcliffe Labs,Seed,—,"Jun 8, 2021",0
GalaxyCard,Seed,"$500,000","Jul 15, 2021",37500000
Nimble Growth Organics,Seed,"$582,000","Sep 24, 2021",43650000
Express Stores,Seed,"$1,100,000","Feb 17, 2021",82500000
Streak,Seed,—,"Jul 28, 2021",0
Devnagri,Seed,"$600,000","Oct 19, 2021",45000000
Josh Talks,Seed,"$1,500,000","Feb 27, 2020",112500000
MyAdvo,Angel,—,"Dec 23, 2016",0
Ola,Corporate Round,"$300,000,000","Mar 18, 2019",22500000000
Shadowfax,Series C,"$22,000,000","Aug 22, 2018",1650000000
Zolo,Series B,"$30,000,000","Jan 7, 2019",2250000000
Muvin,Seed,"$1,000,000","Apr 1, 2021",75000000
InstaPrepsAi : The Confidence App,Seed,—,"Sep 28, 2020",0
Bulbulshop,Series A,"$8,700,000","Jul 28, 2020",652500000
trica,Seed,"$3,000,000","Oct 7, 2021",225000000
Aitrex,Private Equity,"$40,000","Jan 1, 2018",3000000
COGOS Technologies,Seed,"₹150,000,000","Sep 7, 2021",150000000
Bluarmor,Seed,"₹40,000,000","Jan 1, 2017",40000000
Zaroor - EDLP Retail Solutions Private Limited,Seed,"$773,000","Sep 30, 2021",57975000
ERC Eye Care,Angel,—,"Dec 18, 2013",0
AQUATEIN,Seed,—,"Sep 29, 2021",0
Kahanibox,Seed,—,"Apr 23, 2021",0
Bluarmor,Series A,"₹100,000,000","Jan 30, 2019",100000000
M2P Fintech,Series C,"₹2,640,000,000","Oct 12, 2021",2640000000
M2P Fintech,Series B,"₹732,000,000","Mar 16, 2021",732000000
M2P Fintech,Seed,"₹100,000,000","Feb 13, 2020",100000000
Kaching,Seed,"$300,000","Jan 11, 2021",22500000
Sterling Hospitals,Venture - Series Unknown,"$15,500,000","Oct 22, 2006",1162500000
M2P Fintech,Series A,"$4,500,000","Apr 21, 2020",337500000
Pesto Tech,Seed,"$2,000,000","Jun 28, 2021",150000000
BUGWORKS Research,Grant,"$2,600,000","Jul 26, 2017",195000000
GTM Buddy,Seed,"$2,000,000","Sep 14, 2021",150000000
Belora Cosmetics,Seed,—,"Jun 30, 2021",0
docturnal,Seed,"₹1,000,000","Jan 30, 2017",1000000
Bombay Shaving Company,Venture - Series Unknown,"₹450,000,000","Jan 28, 2021",450000000
BharatAgri,Seed,"$2,000,000","Oct 28, 2020",150000000
ZestMoney,Series C,"$50,000,000","Sep 22, 2021",3750000000
NODWIN Gaming,Corporate Round,"$15,000,000","Mar 9, 2021",1125000000
Achievo,Series B,"$24,000,000","Feb 27, 2007",1800000000
OC Orthodontics,Private Equity,—,"Jul 1, 2015",0
Drivezy,Seed,"$3,000,000","Nov 7, 2016",225000000
DogSpot,Seed,—,"Jan 4, 2016",0
Deyor,Seed,—,"May 3, 2017",0
Ketto,Angel,"$700,000","Jul 15, 2015",52500000
Inc42,Seed,—,"May 15, 2016",0
Deyor,Pre-Seed,—,"Jul 4, 2016",0
Mappr,Funding Round,—,"Sep 1, 2015",0
ABDESIGNS,Private Equity,"₹20,000,000","Oct 2, 2016",20000000
BharatPe,Debt Financing,"₹1,000,000,000","Oct 25, 2021",1000000000
Health Basix,Seed,—,"Oct 6, 2021",0
Adventum Student Living,Seed,"$1,000,000","Oct 3, 2019",75000000
Wow! Momo,Series B,"$23,000,000","Sep 18, 2019",1725000000
OTO Capital,Seed,—,"Dec 8, 2020",0
LoanKuber,Seed,"₹130,000,000","Aug 20, 2021",130000000
ReshaMandi,Seed,"₹122,500,000","Mar 25, 2021",122500000
Financepeer,Seed,—,"Mar 24, 2021",0
Leverage Edu,Seed,"$500,000","Nov 6, 2017",37500000
Supplynote,Seed,"$1,200,000","Oct 28, 2021",90000000
Celcius Logistics Solutions,Seed,"$500,000","Aug 4, 2021",37500000
Awign,Series A,"$4,000,000","Dec 12, 2019",300000000
Qin1,Seed,—,"Jan 29, 2021",0
Stylework Innovation Hub,Seed,"$545,000","Mar 8, 2021",40875000
Numadic,Seed,"$2,500,000","Oct 18, 2021",187500000
Financepeer,Seed,"$3,000,000","Sep 29, 2020",225000000
BluSmart Mobility,Seed,"$7,000,000","Sep 7, 2020",525000000
